Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2.6?,How bad would it be if Spack ONLY worked with Python 3?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,"Rank these TBD Spack features by importance [New, backtracking concretizer]",Rank these TBD Spack features by importance [Use existing installs more aggressively],Rank these TBD Spack features by importance [Separate concretization of build dependencies ],Rank these TBD Spack features by importance [AWS/Azure/GCP/Cloud integration],"Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Better Developer features (easily develop multiple packages + 3rd party dependencies)],Rank these TBD Spack features by importance [Notifications about changes to my packages],Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],What features NOT in the prior list would you like to see?,"If we had a (virtual) workshop on Spack, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack helps you the most?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?
11/17/2020 19:31:49,Scientist/Researcher,University HPC/Computing Center,United States,No,AI/ML,Word of mouth,5,"Packages, Core Features, Documentation, Slack Discussions, Mailing List, Issues",develop,"macOS, Red Hat, Windows Subsystem for Linux (WSL)","> 1,000","2.7, 3.8",Do it!,Do it!,"spack load, Spack environments","Environments, build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,"gcc, LLVM, CCE (Cray Compilers)",Critical,Critical,Critical,Very Important,Very Important,Not Important,Somewhat important,Very Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Better mixed compiler support (clang + gfortran),"Yes, I'd present something!",Yes,"Documentation, Slack",Weekly,No,Good,Excellent,Excellent,Excellent,"Environments on macOS, Cray cluster, and Linux cloud",,Reinstallation every time hashes change ,"New concretizer, maintainer bot",If there were I would have added them,
11/17/2020 19:33:08,System Administrator,University HPC/Computing Center,United States,No,"Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML, Bioinformatics",Birds-of-a-feather (BOF) at conference,3,"Packages, Documentation, Slack Discussions, Mailing List, Issues",develop,"Red Hat, Ubuntu, Debian",10 - 100,"3.6, 3.8",Do it!,Do it!,spack load,"Environments, Module generation, Externals in packages.yaml, Concretization preferences in packages.yaml",Intel,NVIDIA,"gcc, Intel Compilers, PGI, NVIDIA Compilers (new PGI), LLVM, nvcc",Slightly Important,Slightly Important,Not Important,Not Important,Somewhat important,Somewhat important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Sysadmin manual documentation,"Yes, I'd present something!",Yes,"Documentation, Slack, Mailing List",Monthly,Probably not,Good,Good,Good,Good,"Clone separate spack repos to expose modules on our cluster.  Wasting disk space is fine, because with several of us sysadmins it's more important to now inadvertently change or break a package installation, e.g. by updating the spack git repo.  We almost always need to create environments and set concretization preferences.","Having more reproducibility, flexibility and control than Singularity containers.  Being able to contribute changes back instead of Sysiphean patching packages for my cluster only.","Lots of technical knowledge involved in a typical package install that puts it out of reach from a non-technical end user.  Some of this can be solved with documentation, but other parts with better error messages, but I suspect mostly we're waiting for some dependency graphs to mature.",Needs to be more beginner friendly: maybe fill in knowledge and training gaps for non-CS researchers with basic ideas about compiling software and suggestions on how to go about doing things,,This project makes me enjoy coming into work.
11/17/2020 19:34:17,Scientist/Researcher,Cloud Provider,United States,No,"Traditional HPC / Simulation, AI/ML",Word of mouth,1,"Packages, Slack Discussions, Mailing List","0.13, 0.15, develop","CentOS, Ubuntu, Amazon Linux","> 1,000","2.7, 3.5, 3.6, 3.7, 3.8",I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),Environment Modules (TCL modules),"Module generation, Chaining, Stacks (matrices in environments), Binary Caches, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)","AMD, Intel, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, armclang",Somewhat important,Very Important,Very Important,Critical,Critical,Somewhat important,Somewhat important,Slightly Important,Not Important,Not Important,Somewhat important,Slightly Important,Easier setup for vanilla environments (recall spack bootstrap),"Yes, I'd present something!",Yes,"Documentation, Slack, Coworkers",Weekly,"Yes, definitely!",Good,Excellent,Good,Excellent,,"Well-defined package specifications and solid concretization. Very useful product, and it gives us peace of mind that compiled binaries are truly HPC-ready.  ",Installing and configuring Spack for multi-user environments. ,Don't lose momentum. ,ARM and FPGA libraries. OneAPI. ,"Provide a single pane example (e.g., separate git repo) of a full institution deployment so users can see example modules.yaml, packages.yaml, etc. that would be produced by the end of the Spack tutorial. Other than iterating all the way through the tutorial, it is hard for new users to identify when they have configured spack at ""production"" quality. "
11/17/2020 19:36:39,User Support Staff,University HPC/Computing Center,United States,No,"Traditional HPC / Simulation, Computer Science Research, Compiler Testing",Birds-of-a-feather (BOF) at conference,1,"Slack Discussions, Issues","0.13, develop",CentOS,100 - 200,"2.7, 3.7",Unacceptable  (it's the only python on important machines),I'd live (I can provide Python 3 somehow),Lmod,"Environments, Module generation, Chaining, build-env (debug a build), Command Extensions, Python extensions (link python packages into interpreter prefix), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel","NVIDIA, AMD","gcc, Intel Compilers, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc",Critical,Very Important,Somewhat important,Somewhat important,Slightly Important,Very Important,Critical,Somewhat important,Somewhat important,Very Important,Very Important,Not Important,Isolation of spack-core and package recipes. Ability to update packages without redeploying a new version of Spack.,"Yes, I'd present something!",Yes,"Documentation, Slack, GitHub",Weekly,Probably,Good,Excellent,OK,Excellent,Deploying packages across multiple clusters. Isolated Spack instance per cluster.,User community,"1) Upgrading packages. 2) Handling compiler-agnostic packages (e.g. intel, mkl, cuda, cudnn, aocl, matlab etc.) 3) Module file customization (naming, hierarchy, etc.)","1) Much better API documentation (methods and properties of objects, introspection). 2) Freezing Spack core APIs and eliminate modifications that break multiple packages across minor versions (e.g., package renaming, renaming object properties etc.). 3) IDE support for package developers, if possible.",Many licensed software.,Thank you for the great work so far and the fantastic support! Would love to contribute to Spack in future as our staff become more experienced with Spack.
11/17/2020 19:37:22,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,Traditional HPC / Simulation,Word of mouth,3,Packages,0.15,"macOS, Red Hat",10 - 100,3.7,Do it!,Do it!,Environment Modules (TCL modules),"Module generation, spack external find, Externals in packages.yaml","AMD, Intel, IBM Power","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, XL, CCE (Cray Compilers)",Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Critical,Very Important,Very Important,Somewhat important,Somewhat important,Not Important,"1. Variants for virtual dependencies e.g., blas+int64 to install blas with 64-bit int support
2. Uniform variants for common options e.g., +int64 for using math libraries with 64-bit integers ","Yes, I'd attend",Yes,"Documentation, GitHub",Monthly,Probably not,Good,Excellent,Good,Excellent,"I'm a math library developer and use spack to build third party libraries e.g., blas, lapack, MPI, hypre, SuperLU_MT, SuperLU_DIST, PETSc, and Trilinos both for developing on my laptop and for continuous integration on a dedicated workstation.

As new releases of those libraries are released I'll build and test with them in different variations of precision (single, double, extended) and index size (32- or 64-bit integers). Once or twice a year I'll install the latest gcc and llvm through spack and rebuild my software stack with it. To load the spack installed software into my environment I use TCL modules. ",Having a simple and easy way to build many different combinations of software packages. Before spack I relied on my own set of bash scripts and it's great to have a much more capable and flexible tool to do the job.,"1. Lack of common variants and variants for virtual dependencies
2. Long build times for some packages
3. Several packages do not support macOS + gcc e.g., CMake and python. However, when I point to an externally installed version in packages.yaml spack will throw an error when concretizing saying it can't build the package with gcc on macOS. I work around this by commenting out the error check in the package I'm building but it would be nice if Spack could note this package is provided externally and not throw the error.
4. Some packages not setting the rpath correctly on macOS e.g., parmetis and petsc not using the full path to metis. ",,,It would be great if https://github.com/spack/spack-configs included more DOE machines and were updated more frequently. If the administrators at computing centers provide these files somewhere it does not seem to be well advertised to users.
11/17/2020 19:38:40,System Administrator,University HPC/Computing Center,United States,No,"Traditional HPC / Simulation, Statistics / Data Analysis, Bioinformatics",Technical Paper,2,"Packages, Slack Discussions",develop,CentOS,200 - 500,3.8,Do it!,Do it!,Lmod,"Module generation, Chaining, build-env (debug a build), spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)",Intel,NVIDIA,"gcc, Intel Compilers, PGI, NVIDIA Compilers (new PGI)",Very Important,Somewhat important,Very Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Slightly Important,Not Important,Somewhat important,Not Important,,Maybe,No,"Documentation, Slack, Coworkers",Weekly,Probably not,OK,Excellent,OK,Good,spack install; read debug messages ; try again,installing multiple versions of the same package with different options for each,"Packages that install in bizarre ways #18975
compiler flags in packages that don't match my systems!",,,
11/17/2020 19:41:57,All of the Above,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, Computer Science Research",Word of mouth,5,"Packages, Core Features, Slack Discussions, Issues",develop,"macOS, CentOS","> 1,000",3.7,Do it!,Do it!,"spack load, Spack environments, Lmod, Environment Modules (TCL modules)","Environments, Module generation, Chaining, Stacks (matrices in environments), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)","AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc",Slightly Important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Ability to set preferences for dependent packages in packages.yaml,"Yes, I'd present something!",No,"Documentation, Slack",Monthly,Probably not,Good,Good,OK,Good,I use Spack to create environments to test applications in which I develop and I also maintain large sets of software for my own group on our machines.,"Once I have a specific configuration set up for a particular machine, I can be a lot more efficient with my work and developing applications than I ever have been without Spack. I work on almost all open DOE machines.","Whenever I try the latest Spack to deploy a large amount of software on a machine, there are tons of version conflicts, and build nuance problems between all of the packages that pop up. I don't have any ideas on what can be done about it and it's not really Spack's fault, but that's usually my biggest issue, and my favorite thing about Spack is when it solves all these issues automatically for me.","All the new GPU programming models will become a problem soon. However, I'm mostly satisfied with my Spack experiences. I realize Spack is trying to tackle a very large problem space so it's hard for me to complain about anything or think it can be done better.",A more complete VisIt to replace their own build script.,
11/17/2020 19:43:01,Software Developer,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,No,Traditional HPC / Simulation,Birds-of-a-feather (BOF) at conference,1,"Slack Discussions, Issues",develop,CentOS,10 - 100,"2.7, 3.8",I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),"spack load, Lmod","Module generation, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml",Intel,NVIDIA,"gcc, Intel Compilers",Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Critical,Very Important,Very Important,Very Important,Critical,Not Important,Better documentation on CI processing..,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers",Monthly,Probably not,OK,Good,Good,Good,,switching version of apps,intel compilers,better external package support,,
11/17/2020 19:43:59,Scientist/Researcher,University HPC/Computing Center,Norway,No,High Energy Physics,Word of mouth,1,"Slack Discussions, Mailing List",0.15,Debian,10 - 100,3.8,Do it!,Do it!,Lmod,"Environments, Module generation, spack-python (Python scripting)","AMD, Intel","NVIDIA, AMD","gcc, Intel Compilers, PGI",Somewhat important,Very Important,Somewhat important,Not Important,Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Very Important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Mailing List",Daily,Probably not,Good,Excellent,OK,Good,I am a professor of theoretical physics that use spack to maintain the local cluster  that I and the people in my group  use in our research,,,Better support from spack for the various options provided by configure scripts of the software package in question,,A great software
11/17/2020 19:44:55,Scientist/Researcher,Other Public Research Lab,Canada,No,"Traditional HPC / Simulation, Computer Science Research",Birds-of-a-feather (BOF) at conference,5,"Packages, Core Features, Mailing List",develop,"macOS, Ubuntu",10 - 100,3.7,Do it!,Do it!,"Spack environments, spack view","spack containerize, Concretization preferences in packages.yaml","AMD, Intel, IBM Power, ARM",NVIDIA,"gcc, LLVM",Slightly Important,Not Important,Not Important,Not Important,Critical,Very Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Create binary packages that I can use without Spack (e.g. self-consistent sets of statically linked binaries / libraries),Maybe,Yes,"Documentation, Mailing List",Monthly,No,Bad,Good,Good,Bad,,,Build times are much too long. Using OS packages is tedious to set up (need to create yaml file).,,,
11/17/2020 19:46:21,Software Developer,Company,United States,No,"Traditional HPC / Simulation, Embedded Systems",Word of mouth,2,"Slack Discussions, Issues","0.15, develop",Ubuntu,100 - 200,"3.6, 3.7",Do it!,Do it!,Spack environments,"Environments, Binary Caches, build-env (debug a build), spack-python (Python scripting), Python extensions (link python packages into interpreter prefix), Concretization preferences in packages.yaml","Intel, ARM",NVIDIA,"gcc, LLVM, armclang",Very Important,Somewhat important,Somewhat important,Somewhat important,Not Important,Critical,Not Important,Slightly Important,Somewhat important,Not Important,Somewhat important,Not Important,"Spack develop (PR#15256), new concretizer, better git integration, better buildcache support,","Yes, I'd attend",Yes,"Documentation, Slack",Weekly,Probably,OK,Excellent,Good,Good,"Developing proprietary 1st party packages with consistent build results across multiple architectures, usually requiring very recent 3rd party packages.",Transitive dependency tracking for large applications with many components being developed independently.,"Builtin packages being packaged with Spack itself makes it difficult to upgrade Spack without having to repopulate buildcaches and adjust dependencies slightly when new conflicts or versions are released. Also, floating versions (like develop branches) break both the source mirror and build cache in subtle ways.",Improve workflows related to developing packages in Spack.,,Awesome community support! Keep up the great work!
11/17/2020 19:47:23,Scientist/Researcher,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,Yes,"Traditional HPC / Simulation, High Energy Physics",Word of mouth,4,"Packages, Core Features, Documentation, Slack Discussions, Issues",develop,"macOS, Red Hat, CentOS, Ubuntu, Debian, Alpine","> 1,000","3.7, 3.8",Do it!,Do it!,"spack load, Spack environments, Lmod","Environments, Module generation, Chaining, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun spack install)","AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel OneAPI / dpc++, NVIDIA Compilers (new PGI), LLVM, AMD hipclang, nvcc, armclang",Critical,Very Important,Very Important,Somewhat important,Very Important,Critical,Very Important,Very Important,Very Important,Very Important,Very Important,Not Important,Public binary packages for develop (or more aggressive search for matching ones),"Yes, I'd present something!",Yes,"Documentation, Slack",Weekly,Probably not,Good,Excellent,Good,Excellent,"We are ECP app developers and need good C++ development environments on Linux, macOS, and the three major DOE sites. At the latter, Spack chains should be promoted and documented.","Clear and to-the-point package syntax, the great community, the spec syntax, (anonymous) environments.","(1) Kick-starting with Spack on HPC systems is not clear, we need docs what the recommended workflows on Summit, Cori et al. are (e.g. what packages to reuse, how to get started in few lines of code, what not to re-compile, where to store the compiled outputs to filesystem-wise, etc.).
(2) concretization errors in environments are not helpful, atm. this is problematic, because my environments are huge.
(3) macOS CI for each PR and binary packages.
(4) As a package maintainer, I would like to express in some points concretization preferences in my package (e.g. if I know conflicts with some MPI implementations, which will currently just default to a conflicting spec).",,Cling (I failed because the LLVM package is too complex for me to hook into),
11/17/2020 19:48:04,Software Developer,Other Public Research Lab,United States,No,Statistics / Data Analysis,Tutorial,1,"Packages, Slack Discussions",develop,"Red Hat, Ubuntu",1 - 10,"2.7, 3.8",I'd live.  (I can provide 2.7 somehow),Do it!,"spack load, Spack environments","Environments, spack containerize, Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml",Intel,NVIDIA,"gcc, LLVM, nvcc",Very Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Very Important,Not Important,Somewhat important,Not Important,improved concretization,Maybe,Yes,"Documentation, Slack",Weekly,No,Excellent,Excellent,Good,Excellent,software development and testing,easy installation of dependent packages in multiple variants for software development,"c++ language standard dependencies, build dependency blow-up",improved concretizer,,I'd like to see improvements in containerization support in Spack
11/17/2020 19:48:54,Scientist/Researcher,DOE/Office of Science Lab (ORNL/ANL/LBL),United States,No,Traditional HPC / Simulation,Used at my site,1,No,0.15,Red Hat,1 - 10,3.5,I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),spack load,Module generation,"AMD, Intel","NVIDIA, Intel","Intel Compilers, Intel OneAPI / dpc++, NVIDIA Compilers (new PGI)",Somewhat important,Very Important,Somewhat important,Not Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Slightly Important,Very Important,Slightly Important,,"Yes, I'd attend",Yes,"Documentation, Slack",Monthly,Probably,Excellent,Excellent,Excellent,Excellent,I want to be able to use it as mechanism to provide third-party libraries to the ESP project that I support and with the required compilers and options not provided by the facility by default.,The Slack channel is useful and the documentation is very useful too.,,"1) Keep doing outreach efforts, videos, tutorials, hackathons, whatever to spread the voice more. It is very useful to listen to presentations to have features and functionality ""printed"" in our memory. 2) If you happen to read this and you are interested in learning more about Uintah and have a discussion about its potential addition to Spack, please don't hesitate to contact me.","I would like to be able to contribute one day adding the Uintah software suite (http://uintah.utah.edu). I'm ALCF catalyst for their ESP project and I'm learning how to use it and helping them with porting efforts for Aurora. Maybe one day we could add it to Spack. Specially, because Uintah is a code that had invested years, and years, and multiple Ph.D. students to add a real performance portability layer.",You are all doing an excellent job!
11/17/2020 19:49:42,System Administrator,University HPC/Computing Center,United States,No,Traditional HPC / Simulation,Word of mouth,0,"Slack Discussions, Issues",0.15,Red Hat,"500-1,000",3.6,Do it!,Do it!,Environment Modules (TCL modules),"Environments, Module generation, Stacks (matrices in environments), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml",Intel,NVIDIA,"gcc, Intel Compilers, nvcc",Very Important,Critical,Very Important,Slightly Important,Not Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Slightly Important,Very Important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Slack",Daily,Probably,Excellent,Good,OK,Good,"I am using Spack to build the software environment for our users on our University's centralized HPC system.

Outside of Spack, I first built 4 versions of the GNU compilers and installed 2 versions of Intel PSXE and then subsequently built OpenMPI for each of the 6 compiler toolchains mentioned. These packages are available via modulefiles; I split up the Intel PSXE into its various components (compilers, MPI, MKL, TBB, DAAL, etc.). These are available to Spack and the users as a ""base toolchain"" set.

Spack is configured to work exclusively with these modulefiles, which has three primary benefits:
1. Spack will use a ""known-good"" base toolchain as its starting point, including site-specific versions of OpenMPI, etc.
2. It is safe to uninstall everything or start fresh within Spack, since the base toolchain is isolated.
3. This cuts down tremendously on the time required for running the first few Spack builds.
Even though I also dabbled with 'spack external find' with good success, I ultimately opted for not using too many system packages within Spack. We are going to move to rhel8/centos8 within the next year, and I don't want to have to manage two totally different and incompatible configurations.

I maintain several configuration sets (profiles) in a git repo. These contain the five main configuration files (config, compilers, packages, modules, and mirrors). I first experimented with custom scopes, but this was not friendly to many of the built-in shell functions. I simply symlink the profile I want to my ~/.spack directory; the downside to this approach is that only one profile can be active at a time.

Once everything was configured correctly within Spack, I created a single environment that builds the master software stack. Any package that needs to get added or removed should be done so within that environment, and never installed directly. I also create environments for individual applications that I am working on that may not be available in Spack yet. I use these environments to create views to use during build-time, and to test the modulefiles that will be eventually loaded by the users at run-time.","High quality recipes and good configuration options make Spack incredibly flexible and robusy for producing consistent software installations. This has drastically reduced the time spent on compiling dependencies, and has also allowed me to use a more consistent toolchain across all builds.","Some package recipes need improvements but there are often no maintainers available to do quick review.

We need better configuration management -- custom scopes are not well integrated into the Spack shell functions which are crucial for smooth operation.

Better parallel building of environments. I think Slurm integration could be very good to have beyond the basic 'srun -N 2 -n  8 spack install -j  4 <package>' functionality.
",I know that some sysadmin/configuration management stuff is in the pipeline for this year which would make a huge difference for me.,"abinit 9, charmm, wien2k, vasp, povray, wrf, cesm2",Keep up the good work. I will continue using and supporting Spack for many years to come.
11/17/2020 19:50:43,Software Developer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,No,Computer Science Research,Word of mouth,3,"Packages, Slack Discussions, Issues","0.15, develop","macOS, Red Hat, Ubuntu","> 1,000","2.7, 3.7",Do it!,I'd live (I can provide Python 3 somehow),"spack load, Spack environments","Environments, Chaining, Stacks (matrices in environments), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml, spack ci (generate GitLab Pipelines)","AMD, Intel, IBM Power, ARM","NVIDIA, AMD","gcc, Intel Compilers, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, XL",Critical,Somewhat important,Critical,Somewhat important,Very Important,Critical,Very Important,Very Important,Very Important,Very Important,Somewhat important,Slightly Important,,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers",Weekly,No,Good,Excellent,Good,Good,Install project dependencies for development or testing.,Automation/reproducibility of installations.,Spack scopes when multiples instances of Spack. Requires extensive knowledge to be used and solve issues.,Speed-up and ease spack use: optimized workflow for development and testing.,,
11/17/2020 19:51:24,Software Developer,Other Public Research Lab,United States,Yes,Computer Science Research,Used at my site,1,"Packages, Core Features, Slack Discussions, Issues","0.15, develop","Red Hat, CentOS, Ubuntu","> 1,000","3.6, 3.7",Do it!,Do it!,"spack load, Spack environments","Environments, Binary Caches, spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml, spack ci (generate GitLab Pipelines)","AMD, Intel, IBM Power, ARM","NVIDIA, AMD, Intel","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, LLVM, AMD hipclang, nvcc, XL, CCE (Cray Compilers)",Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Slightly Important,general ability to add metadata to individual cached packages,"Yes, I'd attend",Yes,"Documentation, Slack, Coworkers",Monthly,Probably not,Good,Excellent,Good,Good,,,,,,
11/17/2020 19:52:01,Scientist/Researcher,University HPC/Computing Center,Czech Republic,No,Traditional HPC / Simulation,Used at my site,3,"Packages, Issues",0.15,Ubuntu,10 - 100,2.7,Do it!,Do it!,Lmod,"Environments, Module generation, Externals in packages.yaml, Concretization preferences in packages.yaml","AMD, Intel",NVIDIA,"gcc, LLVM",Very Important,Very Important,Very Important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Not Important,faster concretization,"Yes, I'd attend",No,"Documentation, Mailing List",Weekly,Probably not,Good,Excellent,Good,Good,,,,,,
11/17/2020 19:52:52,System Administrator,University HPC/Computing Center,United States,No,"Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML, Bioinformatics",Birds-of-a-feather (BOF) at conference,0,No,0.13,CentOS,10 - 100,3.5,I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),Lmod,Module generation,"AMD, Intel",NVIDIA,"gcc, Intel Compilers, nvcc",Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,"Yes, I'd attend",Yes,"Documentation, Mailing List",Monthly,Probably,OK,OK,OK,OK,I quit testing it because it was harder than our current workflow,I went back to old way,"set up, and when a dependency fails (has not been updated)",Easier to set up,,
11/17/2020 19:53:41,Scientist/Researcher,Company,United States,No,"Traditional HPC / Simulation, AI/ML",Tutorial,4,No,"0.13, 0.14, 0.15","Red Hat, CentOS, Ubuntu","500-1,000","2.7, 3.6, 3.7",I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),"spack load, Lmod, Environment Modules (TCL modules)","Environments, Module generation, spack external find, Externals in packages.yaml","AMD, Intel, IBM Power, ARM","NVIDIA, AMD","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVIDIA Compilers (new PGI), LLVM, AMD aocc, AMD hipclang, nvcc, XL, armclang",Very Important,Critical,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Very Important,Not Important,Critical,Not Important,"1) An easy way to upgrade all packages (with the closest choice of same options used before) without using environments.
2) Native support for other compilers (AMD hipcc, aocc, Mentor Graphics etc.)","Yes, I'd attend",Yes,"Documentation, Slack",Weekly,Probably not,Good,Good,Good,Good,Providing a more complete development environment for internal research systems,Being able to bring up an up2date dev environment quickly and consistently,"1) Packages that fail to build for some obscure error - usually on a slightly different O/S. I still have to get to build all of xsdk on all my platforms.
2) Having to trick Spack to use a specific package version despite Spack insisting on using a close relative of it in terms of build options (that needs to be installed). In the end I end up with multiple almost identical copies of OpenMPI, HDF5 etc.",,,Spack is a great idea - unfortunately right now it can be both a life-saver and an enormous headache.
11/17/2020 20:09:20,System Administrator,University HPC/Computing Center,United States,No,"Traditional HPC / Simulation, Statistics / Data Analysis, AI/ML, Bioinformatics, High Energy Physics",Birds-of-a-feather (BOF) at conference,1,"Packages, Issues",0.14,Red Hat,200 - 500,"2.7, 3.6",I'd live.  (I can provide 2.7 somehow),I'd live (I can provide Python 3 somehow),Environment Modules (TCL modules),"Environments, Externals in packages.yaml, Concretization preferences in packages.yaml, json output of spec and find","AMD, Intel",NVIDIA,"gcc, Intel Compilers, PGI, LLVM, nvcc",Somewhat important,Somewhat important,Slightly Important,Not Important,Not Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Not Important,Somewhat important,Slightly Important,include files in environments; improved diagnositics for concretization issues,Maybe,Yes,"Documentation, Mailing List",Weekly,Probably not,Excellent,Good,Good,Good,"I maintain a software library for users.  Typically install using mutliple environments (e.g. all packges built w specific compiler/MPI combo), and home-grown perl wrappers around spack to ensure package and all non-trivial dependencies are defined in package.yaml and all variants specified. ",It makes building of software packages more efficient as I can leverage work done by others in working out issues with package installations.,"every now and then I get a package which has errors when concretizing spec in my environment.  While these are generally issues in my configuration clashing with package requirements, it can be very hit or miss to diagnose why.  E.g. https://groups.google.com/g/spack/c/TfHNKHvc_Q4.  It would be nice if debug messages could be improved to help explain why concretizer is making certain decisions/",,,
