Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,Are you part of any EuroHPC joint undertaking projects? (https://eurohpc-ju.europa.eu/),Are you part of some other project that uses Spack that you'd like us to highlight (leave blank if not)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],What features NOT in the prior list would you like to see?,"We're planning an in-person Spack user meeting in August, will you plan to attend?",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email."
3/7/2023 12:55:09,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United Kingdom,Yes,No,,"C, C++, Python","HPC / Simulation, Computer Science Research",Word of mouth,5,"Packages, Slack Discussions, GitHub Discussions, Issues",develop,"Ubuntu 22, Cray XC","> 1,000",3.1,Spack environments,"Environments, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Git versions, spack load",Yes -- several,No,No,"AMD, Intel, ARM",No GPUs,"gcc, LLVM",Very Important,Slightly Important,Somewhat important,Very Important,Not Important,Not Important,Not Important,Slightly Important,Critical,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Not Important,,No,No,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions",Weekly,Probably,Probably,OK,Excellent,Good,Excellent,"On my laptop I work use the develop branch, which I update from time to time (usually when I have contributed a package and it has been merged). I have one environment per project I work on (with a spack.yaml at the root of the project). On supercomputers I tend to have one spack installation per project along with an environment file, and nothing in my ~/.spack folder, to be 100% sure that concretization is not influenced by anything external. I also try to fix the spack version to a specific release, to make the build more reproducible.",,Not always understanding why clingo made certain decisions and how to force it to make other decisions.,,,,
3/7/2023 13:06:53,Research Software Engineer (RSE),Company,United States,No,No,,"Fortran, C, C++, Python","HPC / Simulation, AI/ML, Bioinformatics, High Energy Physics, Compiler Testing, Visualization",Used at my site,5,Packages,"0.17, 0.19, develop","RHEL 8, Ubuntu 20, Ubuntu 22, Windows Subsystem for Linux (WSL), Cray EX","500-1,000","3.8, 3.9, 3.10, 3.11","spack load, Environment Modules (TCL modules), Containers","Mirrors (spack mirror create / air gap support), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop, Multiple build systems in one package, spack load",Yes -- several,No,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Other","gcc, NVHPC, LLVM, nvcc (CUDA), CCE (Cray Compilers)",Very Important,Very Important,Somewhat important,Very Important,Not Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Critical,Critical,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,,No,Yes,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions",Weekly,Probably not,Probably,Good,Good,Good,Good,,,,,,,
3/7/2023 13:37:43,DevOps/SRE,Company,Canada,No,No,,"C++, Python",satellite image processing / Geomatics / HPC,Search,3,"Packages, GitHub Discussions, Issues",0.17,CentOS 7,10 - 100,3.6,"Spack environments, spack view","Environments, Module generation, spack containerize, Mirrors (spack mirror create / air gap support), spack external find, Concretization preferences in packages.yaml, New concretizer (clingo), concretization: --reuse (default), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",No,Yes,No,"AMD, Intel","NVIDIA T4, NVIDIA Ampere",gcc,Somewhat important,Somewhat important,Critical,Not Important,Not Important,Critical,Critical,Slightly Important,Critical,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,Not Important,Somewhat important,,Maybe,No,"Documentation, Slack, GitHub Issues, GitHub Discussions",Weekly,Probably not,Probably not,Excellent,Excellent,Excellent,Excellent,"install GIS software and python packages in spack environments, amounting to 300ish packages including dependencies.  ","Currently working on breaking free from Linux distro we're using (Centos7) in running our image processing software stack. This became important last year since Centos was discontinued. Also, we always wanted to separate our computational software from distro packages.","Installing qgis, torch, tensorflow, gcc from binary cache.","not sure if this is implemented yet, but seperating concretization of build dependencies from others might be useful. In my company  we use python and 100s of python packages to do image processing. If there is any room for improving Spack way of installing and usage of 100s of python packages in spack environments, it would be great to look into it.",,Keep up the great work!,
3/7/2023 14:02:02,DevOps/SRE,Other Public Research Lab,United States,No,No,"Joint Effort for Data assimilation Integration (JEDI), Unified Forecast System (UFS)","Fortran, C, C++, Python, sh/bash/other shell script",HPC / Simulation,"Presentations, Tutorials, Word of mouth",2,"Packages, Core Features, Slack Discussions, Issues","0.19, develop, custom fork","macOS 12 (Monterey), macOS 11 (Ventura), RHEL 8, CentOS 8, Rocky 8, Ubuntu 20, Ubuntu 22, SLES12, SLES15, Cray XC",200 - 500,"3.8, 3.9, 3.10","Lmod, Environment Modules (TCL modules), spack view, Containers","Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), build-env (debug a build), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), concretization: --reuse (default), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Git versions",Yes -- several,Yes,No,"AMD, Intel, IBM Power, ARM",No GPUs,"gcc, Intel Compilers, Intel OneAPI, LLVM, CCE (Cray Compilers)",Slightly Important,Very Important,Somewhat important,Somewhat important,Not Important,Somewhat important,Somewhat important,Very Important,Very Important,Critical,Slightly Important,Critical,Somewhat important,Somewhat important,Very Important,Slightly Important,,Maybe,Yes,"Documentation, Slack, GitHub Issues, GitHub Discussions, Source Code",Weekly,Probably not,"Yes, definitely!",Good,Excellent,Good,Good,"We use spack to create large, unified environments for JEDI and the various models it needs to work with (UFS, MPAS, GEOS, Unified Model, ...). We build on many HPCs, on macOS and Linux boxes, and we use the same setup to create Docker containers (spack containerize) that then get converted to Singularity containers. We use the containers for public releases and CI testing.

To streamline our processes, we created our own custom extension into the spack command (spack stack ...) and we maintain our own fork of spack that we use to quickly get pull requests merged. We are making efforts to synchronize our fork with the upstream repo in a regular basis.",It's a lot easier to create consistent environments across a number of platforms and then auto-generated the modules to load everything that is needed.,"The rapid changes to it. Every time we pull in the updates from spack authoritative (usually every 3 months), the builds on half of our HPCs don't work anymore and we spend about a week or two just fixing those.","Fewer changes that break existing setups. It's hard to maintain backward compatibility because it makes progress slower and harder, but it's important. It would be nice if there was a way for external contributors to set up automated tests of spack builds using the authoritative spack repository and integrate this into the spack CI system.",,A big thank you for all you do! It's a huge job and you've achieved a lot.,
3/7/2023 14:37:35,Computational Scientist,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C, C++, Python","HPC / Simulation, AI/ML, Computer Science Research, Compiler Testing",Word of mouth,3,"Packages, Slack Discussions, GitHub Discussions, Issues",0.19,"macOS 12 (Monterey), RHEL 8, Ubuntu 20, Alpine, Cray EX",10 - 100,"3.9, 3.10","spack load, Lmod, Custom script or env vars","Environments, Module generation, Chaining (upstreams), build-env (debug a build), Cray PE support (spack external read-cray-manifest), Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack develop, concretization: --reuse (default)",Yes -- several,My site has a front-end or extension to Spack,spack manager,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, AMD MI200/250X, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), CCE (Cray Compilers), armclang",Very Important,Not Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Critical,Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,"Separate spack into 3 projects: package.py files, installed package ""database"", install machinery",No,No,"Documentation, Slack, GitHub Issues, GitHub Discussions, spack help, Source Code, Email",Monthly,Probably not,Probably,Good,Excellent,Good,Good,"I'd like to use spack more, but ending up spending way too much time crafting packages.yaml files.  This effectively covers up problems in the underlying package.py stack. Changes to package.py files often send me running for the hills (hence my retreat to spack manager).","Spack has helped me build an HPC development environment on my laptop that aids porting to my HPC center (openblas, blas++, lapack++, openmpi, hipsycl).","I end up maintaining many clones of spack because it doesn't install like a python package. I'd use spack as a python module if only I had spack.find(), spack.spec(), and spack.install() functions.  Doing this requires separating spack's source code from its database state (and ideally from $HOME as well).  A separate database would allow network interaction - fixing another issue I have, parallel builds don't work on my filesystem (locking is broken). [https://github.com/spack/spack/issues/31154]",Move spack state outside of spack source tree.  Let it be configurable by environment variables (they're not always bad).  Document those environment variables.,,The spack team is great! Keep up the good work!,
3/7/2023 15:49:39,"Several of the above: DevOps, Systems Architect, User Support, Manager",University HPC/Computing Center,United States,No,No,,"Fortran, C, Python, Julia, Perl, R, sh/bash/other shell script, Ruby, Lua",I am indirectly involved in almost all of the above in my role.,Discovered via search many years ago,5,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues, Mailing List","develop, custom fork","CentOS 7, Rocky 8, Windows Subsystem for Linux (WSL), Gentoo","> 1,000","3.6, 3.7, 3.8, 3.9, 3.10","spack load, Spack environments, Lmod, spack view, Containers, Custom script or env vars","Environments, Module generation, spack containerize, Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at https://binaries.spack.io, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Git versions, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.), spack diff (compare two specs)",Yes -- several,Yes,No,"AMD, Intel","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Other","gcc, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Critical,Somewhat important,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Critical,Very Important,Very Important,Very Important,Very Important,Somewhat important,Critical,Critical,,Maybe,Yes,"Documentation, Slack, GitHub Issues, GitHub Discussions, spack help, Source Code",Weekly,No,Probably not,Good,Good,OK,Good,"Software for a diverse user base is distributed. I use the concept of stacks, hopefully with a self-consistent set of dependencies. New stacks are released roughly twice per year. Our cluster is multi-architecture so I build each stack for each micro-architecture. I have a deployment script that manipulates module files and creates symlinks of the packages to ""hide"" the details, including the hashes, from the user base. This scheme allows the queue system to select the correct micro-architecture for the node type even if the user passed the environment of the submit host to the job. I am currently experimenting with creating spack environments for packages and generating module files for those, with the goal of reducing the amount of modules that have to be loaded, particularly for R and Python packages that require autoloading of modules.",Taking advantage of spack recipes so that I do not have to develop every build recipe for our site.,Lack of consistency in how package recipes are implemented is one. The biggest by far though is the seemingly unpredictable results from clingo.,"Maybe have clingo query whether it is okay to use a version or variant other than what was specified. The 'require' attribute helps but can sometimes cause clingo to fail to concretize. I guess the biggest thing would be to reduce the number of times one is surprised by a clingo decision, producing those WTF moments.",My user base will eventually ask for some.,I am overall happy with Spack.,
3/7/2023 16:12:50,System Administrator,University HPC/Computing Center,Australia,No,No,,"Python, Perl, R, sh/bash/other shell script","HPC / Simulation, AI/ML, Bioinformatics",Search,4,Issues,0.19,"RHEL 7, RHEL 8",10 - 100,3.9,Environment Modules (TCL modules),"Module generation, spack-python (Python scripting), Externals in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), Variant/flag propagation (++, ~~, ==), Git versions",No,Yes,No,"AMD, Intel","NVIDIA T4, NVIDIA Volta, NVIDIA Other","gcc, Intel Compilers, PGI, LLVM",Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,,No,Yes,"Documentation, Slack, Mailing List",Weekly,Probably,Probably,Good,Good,Good,Good,Reduce the time and complexity of software installation,Improve the speed of software installation,,,More astrophysicists packages,,
3/7/2023 17:14:37,Research scientist and software engineer,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,No,No,,"C++, Python, Javascript, Java, C#, Swift, Lua, Common Lisp","HPC / Simulation, High Energy Physics, Web applications",Word of mouth,0,No,develop,"macOS 12 (Monterey), Ubuntu 20, Windows 10",1 - 10,3.9,"spack load, Spack environments, Containers, Custom script or env vars","Environments, spack external find, spack load",No,No,No,"AMD, Intel, ARM",No GPUs,"gcc, Intel Compilers, LLVM",Very Important,Slightly Important,Not Important,Not Important,Not Important,Critical,Critical,Not Important,Somewhat important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,More Windows package definitions,Maybe,Yes,"Documentation, Slack, Source Code",Weekly,Probably,Probably not,Good,Good,Good,Good,"As an LLNL physicist and software engineer, I extend and maintain physics-based software tools to analyze global threats. I use Spack to handle the builds of dependencies for our tools.","Spack offered a way to unify the way we build our tools across Ubuntu, macOS, and Windows.",Package download failures and build failures.,Get Windows packages on more equal footing with macOS and Linux.,No.,I love the principle of Spack. Using it has a sharp but reasonable learning curve.,
3/7/2023 22:28:42,Scientist/Researcher,Other Public Research Lab,Croatia,No,Yes,,"C, C++, Python, Julia, Rust, sh/bash/other shell script",HPC / Simulation,Word of mouth,1,No,develop,"CentOS 8, Ubuntu 22, Debian 10",200 - 500,3.1,spack load,"concretization: --reuse (default), concretization: --fresh (build everything fresh), Variant/flag propagation (++, ~~, ==), spack load",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Ampere, AMD MI200/250X, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), armclang",Critical,Critical,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Critical,Very Important,Critical,Critical,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Not Important,,No,Yes,"Documentation, Slack, GitHub Issues, Source Code",Weekly,Probably not,"Yes, definitely!",OK,Good,Good,Excellent,,,,,,,
3/8/2023 0:22:24,Research Software Engineer (RSE),University HPC/Computing Center,Germany,No,No,,"C, C++",Performance tools,Presentation,5,"Packages, Slack Discussions, GitHub Discussions, Issues",develop,"macOS 12 (Monterey), RHEL 7, CentOS 7, Rocky 8",1 - 10,"3.9, 3.10, 3.11","spack load, Lmod","E4S build caches (https://e4s.io), spack external find, spack develop",No,No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, AMD MI100, AMD MI200/250X","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Very Important,Critical,Critical,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,,No,Yes,"Documentation, Slack, GitHub Issues, Email",Weekly,Probably not,Probably not,Good,Good,Good,Good,Package maintainer for Score-P and its dependencies,,,,,,
3/8/2023 6:25:18,System Administrator,Other Public Research Lab,Canada,No,No,,"Python, sh/bash/other shell script","HPC / Simulation, AI/ML",Presentation,1,No,0.18,"Ubuntu 18, Ubuntu 20",10 - 100,"2.7, 3.6, 3.8",Environment Modules (TCL modules),Module generation,No,No,No,Intel,"NVIDIA T4, NVIDIA Ampere, NVIDIA Other","gcc, LLVM, nvcc (CUDA)",Not Important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Not Important,Not Important,Not Important,Critical,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,,No,No,"Documentation, Mailing List",Monthly,No,No,OK,OK,Good,Good,"Install package, have it generate TCL Module, have users use it.",,"Spack upgrades: what is the ""official"" / recommended way to go from using 0.18 to 0.19 to (eventual) 0.20? Do I do a new 'git clone' in a new directory? Do a 'git pull' in the current tree and change the branch? Other? ","Spack upgrades (0.18->0.19->0.20). There should be a section in the docs explaining the ""official"" way to do this: either a new 'git clone' on the new branch, a 'git pull' with  a change in the branch on the current directory structure, other (?). ",,,
3/8/2023 8:12:58,Software Developer,University HPC/Computing Center,Switzerland,No,No,,C++,HPC / Simulation,Word of mouth,2,"Packages, Slack Discussions, Issues",develop,NixOS,100 - 200,3.11,spack build-env,"Chaining (upstreams), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), spack develop, concretization: --reuse (default), concretization: --fresh (build everything fresh), Git versions, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- just one,Yes,No,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, AMD MI200/250X, AMD MI300","gcc, NVHPC, LLVM, nvcc (CUDA), CCE (Cray Compilers), armclang",Somewhat important,Very Important,Very Important,Very Important,Not Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Not Important,Slightly Important,Not Important,Slightly Important,Slightly Important,,Maybe,No,"Documentation, Slack, Coworkers, GitHub Issues, Source Code",Monthly,Probably not,Probably not,Good,Excellent,Good,Good,,,,,,,
3/8/2023 19:13:16,Research Software Engineer (RSE),Company,United States,Yes,No,,"C, C++, Python, Rust, sh/bash/other shell script","HPC / Simulation, Computer Science Research, Visualization",Presentation,2,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues",develop,"CentOS 7, CentOS 8, Ubuntu 18, Ubuntu 20, Fedora, Cray XC, Cray EX, Windows 10, Windows 11","> 1,000","3.7, 3.8, 3.9","spack load, Spack environments, Lmod, spack build-env, Containers","Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Public build caches at https://binaries.spack.io, E4S build caches (https://e4s.io), build-env (debug a build), spack ci (GitLab pipeline generation -- yourself, not on our CI), spack-python (Python scripting), spack external find, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Git versions, spack test, spack load, spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- several,Yes,No,"AMD, Intel, IBM Power, ARM","NVIDIA T4, NVIDIA Ampere, AMD MI200/250X, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), IBM XL, CCE (Cray Compilers), armclang",Very Important,Critical,Very Important,Somewhat important,Not Important,Not Important,Very Important,Very Important,Very Important,Somewhat important,Critical,Somewhat important,Very Important,Somewhat important,Critical,Slightly Important,,Maybe,No,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, spack help, Source Code",Daily,No,Probably not,Good,Excellent,OK,Good,Early access deployments at exascale computing facilities.,"The docs have been super helpful, but the community willing to answer questions in slack has been the biggest help.",Configuring externals on bespoke systems is one of the biggest pain points (for me). There isn't enough configuration control over environments/build systems of dependents from external package definitions. There is also no support for selecting compatible externals without duplicating the package.py dependencies in the external spec.,Improved support for externals.,"Not sure right now, but I will add them when I need them!",The Spack community is great and I am very happy to be a part of it!,
3/9/2023 12:42:00,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,No,,"C++, Python, Perl, sh/bash/other shell script",High Energy Physics,Birds-of-a-feather (BOF) at conference,5,"Packages, Core Features, Slack Discussions, Issues","develop, custom fork","RHEL 7, AlmaLinux 9","500-1,000","3.6, 3.9","spack load, Spack environments, spack build-env, UPS","Environments, Module generation, Chaining (upstreams), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), build-env (debug a build), spack-python (Python scripting), Externals in packages.yaml, Concretization preferences in packages.yaml, New `require:` directive in packages.yaml, New concretizer (clingo), spack develop, concretization: --reuse (default), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), Git versions, spack test, spack load",Yes -- several,Yes,SpackDev,"AMD, Intel, ARM",No GPUs,"gcc, Intel Compilers, Intel OneAPI, LLVM",Somewhat important,Critical,Critical,Very Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Not Important,Better decoupling between buildcache and local Spack recipes to increase buildcache hits and decrease recompilations when Spack used to produce binary package differs from local,Maybe,No,"Documentation, Slack, Coworkers, GitHub Issues, spack help, Source Code",Weekly,Probably not,Probably not,Excellent,Excellent,OK,Excellent,Developing tools and workflows to replace previous packaging/build infrastructure for multiple small to medium-sized HEP experiments and Fermilab as an entity.,Using Clingo / Slack discussions and responsiveness of devs,Handling of compiler/C++ standard/library selection in deep and wide stacks; unnecessary rebuilds of C/pure Python/non-compiled packages due to compiler differences; buildcache/local Spack recipe mismatches causing [errors](https://github.com/spack/spack/issues/33227) and/or unwanted rebuilds; inability to specify test-only build dependencies (e.g. googletest).,Compilers-as-dependencies and better handling of build and test-only build dependencies.,PRs will be incoming!,Keep going! Onward!,
3/9/2023 21:48:16,Manager,Research Infrastructure Group based at University,Australia,No,No,Australian Earth-System Simulator (ACCESS-NRI),"Fortran, Python",Climate Modelling (HPC+analysis),Search,0,Slack Discussions,0.19,Rocky 8,10 - 100,3.1,Still testing best methods,"Environments, Module generation, spack containerize, Chaining (upstreams), Stacks (matrices in environments), Build caches (making binary packages), build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), spack load",Yes -- just one,Yes,No,"AMD, Intel",No GPUs,"gcc, Intel Compilers, Intel OneAPI",Critical,Somewhat important,Somewhat important,Not Important,Not Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Slightly Important,Critical,Slightly Important,Slightly Important,Very Important,Not Important,Split packages out of main repo,Maybe,Yes,"Documentation, Slack, Coworkers, GitHub Issues, spack help, Source Code, search",Daily,Probably not,Probably,Excellent,OK,Good,Good,"We are converting our climate modelling builds to spack. We need to deploy these builds to users and make them easy to discover and user. We need to provide easy ways for developers to build the models when testing new features, with the ability to test different versions of dependencies easily.",Ability to build exactly the same spec on HPC as GitHub runner for CI.,"The E4S cache bug meant we had to create our own buildcache, but OpenStack wasn't a supported cache end-point","Move from slack to a proper forum. Long form answers that can be found and added to, rather than the same questions asked repeatedly. Stackoverflow has problems, but think of the value it adds. A huge amount of the problem in using spack is specificity. It helps enormously if I can find uses cases that look like mine that I can adapt. Anything that would help to share this kind of knowledge would be a huge boost. ",Nothing I can think of.,"Thanks for providing an awesome tool. You have added come great features, but I think they need to be improved and bedded down better before trying to add heaps more.",
3/10/2023 0:00:44,Scientist/Researcher,University research group,Italy,No,No,,"C++, Python","HPC / Simulation, Visualization",Word of mouth,5,Packages,0.19,"RHEL 7, CentOS 7, AlmaLinux 8, Debian 11, Arch, openSuSE",200 - 500,"3.6, 3.8, 3.10","spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), concretization: --reuse (default), concretization: --fresh (build everything fresh), Git versions, spack load",No,Yes,No,"AMD, Intel, RISC-V","NVIDIA Ampere, Intel Xe (Ponte Vecchio), No GPUs","gcc, LLVM, nvcc (CUDA)",Somewhat important,Critical,Very Important,Very Important,Not Important,Not Important,Slightly Important,Very Important,Somewhat important,Very Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Not Important,,Maybe,Yes,"Documentation, Coworkers, GitHub Issues, Source Code",Weekly,Probably not,"Yes, definitely!",Good,OK,Good,Excellent,Build support packages for the developemtn of scientific software in HPC environment,spack environments,managing generated packages and making them available in a cohesive way,get compilers as proper dependencies,,,
