Timestamp,What kind of user are you?,Where do you work?,What country are you in?,Are you part of the U.S. Exascale Computing Project (ECP)?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many software installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How bad would it be if Spack dropped support for Python 2?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use?,Do you have local Spack package repositories?,Do you have any local modifications to Spack itself?,Which processors do you expect to use with Spack in the next year?,Which GPUs do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Compilers as proper dependencies],"Rank these TBD Spack features by importance [Separate concretization of build dependencies (build build tools with gcc/clang, not fancy compilers)]","Rank these TBD Spack features by importance [Optimized, public binary packages]",Rank these TBD Spack features by importance [Build testing for every PR],"Rank these TBD Spack features by importance [Language virtual dependencies (e.g., depends_on(""cxx@2017:""))]",Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Windows Support],Rank these TBD Spack features by importance [Autodetection of system packages],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [More reproducibility for environments],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],What features NOT in the prior list would you like to see?,"If we had a (virtual) Spack user meeting, would you attend? ",Have you done a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",If there were a software foundation (ala Linux Foundation or CNCF) around Spack would it make you more likely to use/recommend Spack?,How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,
12/16/2021 11:54:43,Computational Scientist,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"C++, Python, sh/bash/other shell script","Traditional HPC / Simulation, Computer Science Research, Compiler Testing",Used at my site,0,Core Features,"0.17, develop","RHEL 8, Ubuntu 20, Arch, Windows Subsystem for Linux (WSL)",200 - 500,"2.7, 3.8",I'd live (I can provide Python 3 somehow),"spack load, Spack environments","Environments, spack containerize, Chaining (upstreams), Build caches (binary packages), build-env (debug a build), spack-python (Python scripting), Externals in packages.yaml, New concretizer (clingo), spack install --reuse",Yes -- several,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, AMD MI200, AMD Other","gcc, Intel OneAPI / dpc++, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers)",Slightly Important,Critical,Slightly Important,Not Important,Slightly Important,Somewhat important,Not Important,Very Important,Slightly Important,Critical,Critical,Not Important,Very Important,Not Important,Very Important,,"Yes, I'd attend",Yes,Coworkers,Daily,Probably,Probably,Bad,OK,OK,OK,Use spack to manage tpls for the Spheral project at LLNL. Currently using it in our workflow to generate TPLs and host configs with CachedCmakePackage,Setting up a fully automated TPL system  for all of our build configurations is a god send.,"Speed of concretizer, manually defining a large list of system level packages, gpg keys for build caches are also difficult to work with at times. Generally the documentation is difficult to navigate and find answers with full fleshed out examples for more complex spack features.","Documentation review / restructuring, a lot of features and commands are hard to find documentation on outside of --help. A deeper understanding of what each command actually does under the hood would be really useful. Developer / spack scripting documentation would be useful too. Writing custom scripts can require traversing the spack source code to find what is needed.",,,
12/16/2021 12:33:06,Scientist/Researcher,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,No,C++,Traditional HPC / Simulation,Word of mouth,2,"Issues, Mattermost discussions",c8f58c5f1d660bfdb5f4f50d1d2a9f294435ee4d,"Fedora, TOSS",1 - 10,"2.7, 3.7",I'd live (I can provide Python 3 somehow),,"Externals in packages.yaml, Concretization preferences in packages.yaml, uberenv",Yes -- just one,Yes,"AMD, Intel",NVIDIA Volta,"gcc, LLVM",Critical,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Support for old branches (not just move to a completely new release),Maybe,No,"I've tried Mattermost, but I basically haven't gotten the support I need. The spack build on my local machine has been broken for months.",Monthly,Probably not,Probably,OK,Bad,OK,OK,"The LiDO project uses spack to build the third-party libraries it needs. The VBL++ project tried to use spack to build tools and libraries on an old version of Oracle Linux. We couldn't get any support, so we eventually replaced spack with a hand written Bourne shell.",,"Getting support from the spack team. It seems that the spack team is not willing to address issues on old releases. I run into a problem with spack, I try to get help, nothing happens, and I give up building on my Fedora 33 machine.",Budget enough resources to address LLNL code teams.,,,
12/16/2021 12:51:11,Research Software Engineer (RSE),"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"C++, Python",AI/ML,Word of mouth,3,No,develop,"macOS, RHEL 7, RHEL 8",10 - 100,3.7,Do it!,"spack load, Spack environments","Environments, Module generation, build-env (debug a build), spack external find, New concretizer (clingo)",No,Yes,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, AMD MI100, AMD MI200","gcc, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA)",Critical,Very Important,Somewhat important,Slightly Important,Very Important,Not Important,Not Important,Somewhat important,Not Important,Critical,Critical,Somewhat important,Very Important,Not Important,Slightly Important,,Maybe,Yes,"Documentation, Coworkers, GitHub",Monthly,Probably,"Yes, definitely!",Good,Excellent,Good,OK,,,,,,,
12/16/2021 12:57:54,DevOps/SRE,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"Fortran, C, C++, Python, sh/bash/other shell script",Traditional HPC / Simulation,Word of mouth,5,"Packages, Issues",0.16,"RHEL 7, RHEL 8","> 1,000",2.7,I'd live (I can provide Python 3 somehow),,,Yes -- several,No,"AMD, Intel, IBM Power, ARM","NVIDIA Ampere, NVIDIA Other, AMD MI200, AMD Other","gcc, Intel Compilers, Intel OneAPI / dpc++, PGI, NVHPC (new NVIDIA PGI compilers), LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), IBM XL, CCE (Cray Compilers), armclang",Very Important,Not Important,Slightly Important,Not Important,Not Important,Slightly Important,Not Important,Somewhat important,Not Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Critical,,"Yes, I'd attend",Yes,Coworkers,Yearly,No,No,Good,Good,Bad,Good,,,,,,,
12/16/2021 13:09:59,Scientist/Researcher,University research group,United States,No,"Python, sh/bash/other shell script",AI/ML,Word of mouth,5,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues, Mailing List, Tools/integrations",develop,"macOS, Ubuntu 18","> 1,000","3.6, 3.8, 3.9",Do it!,"spack load, Spack environments","Environments, spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack install --reuse, spack test, spack load",No,No,"AMD, Intel",NVIDIA Other,"gcc, LLVM, nvcc (CUDA)",Critical,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Not Important,Not Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,Not Important,,"Yes, I'd present something!",Yes,"Documentation, Slack, GitHub, spack help, Source Code",Weekly,No,No,Excellent,Excellent,Excellent,Excellent,,,"Clingo concretization error messages are useless, separate concretization of build deps (Jupyter ecosystem requires conflicting versions of jupyter-packaging), need publicly available binary packages, need build testing for every PR (not just E4S packages)",Public binary cache,,,
12/16/2021 14:09:56,Research Software Engineer (RSE),"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"C, sh/bash/other shell script",Traditional HPC / Simulation,Used at my site,3,Packages,develop,"macOS, RHEL 7, RHEL 8, Cray XC",100 - 200,"2.7, 3.6, 3.7",I'd live (I can provide Python 3 somehow),"spack load, Spack environments","Environments, spack containerize, build-env (debug a build), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack load, spack diff (compare two specs)",No,No,"AMD, Intel, IBM Power, ARM",NVIDIA T4,"gcc, Intel Compilers, IBM XL, CCE (Cray Compilers)",Slightly Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Not Important,Slightly Important,Not Important,Very Important,Somewhat important,Somewhat important,Not Important,Somewhat important,Somewhat important,,Maybe,Yes,"Documentation, Slack, Mailing List, Coworkers, GitHub, Email",Weekly,Probably not,Probably,Good,Excellent,Good,Good,"Set up env for building/testing, activate env, develop software",Convenience of testing various build/version environments,N/A,N/A,N/A,N/A,
12/16/2021 16:20:46,Research Software Engineer (RSE),"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,Python,"Traditional HPC / Simulation, AI/ML, Ensembles",Presentation,3,"Packages, Slack Discussions, Issues",develop,"RHEL 8, Ubuntu 20, SLES12, SLES15, Cray XC",10 - 100,"3.7, 3.8, 3.9, 3.10",Do it!,"spack load, Lmod","Module generation, Externals in packages.yaml, Distributed Builds (srun/mpirun spack install), spack test, spack load",No,No,"AMD, Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere, AMD MI100, Intel Xe (Ponte Vecchio)","gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM, CCE (Cray Compilers)",Very Important,Not Important,Not Important,Somewhat important,Slightly Important,Not Important,Not Important,Somewhat important,Not Important,Very Important,Slightly Important,Somewhat important,Not Important,Not Important,Slightly Important,Easier to express packages in packages.yaml (or spack.yaml) and keep up to date. E.g. Say use any python dependency you can find for this python (numpy/scipy in site-packages etc). Or tell it to use the most recent python module on the system (or the current default). Same for other modules MPI/compiler etc.,"Yes, I'd attend",No,"Documentation, Slack, GitHub",Monthly,Probably not,Probably not,Bad,OK,Good,OK,"I build mainly with python packages at the top, with many non-python dependencies, on various HPC platforms as well as laptop. ","My use of Spack has been sporadic, generally coinciding with testing for software releases. Help with getting smoke tests working was good.","The documentation may be good in a lot of aspects, but for python, its sometimes been difficult to work out the best approach, given the need to load modules. Then ""spack load -r"" seemed to no longer exist. A walk-through example of building a software stack which includes python packages would be useful. I also found incorporation of testing confusing, though I had help with this from E4S/LLNL, which was good.

It is often very hard to work out what to do when one of your dependencies fails to build with Spack, or it says cannot run C programs, even though the compiler is found and listed.

It is frustrating dealing with packages.yaml, or spack.yaml as these are generally out of date. As mentioned, ability to specify using default module or something that would keep these up to date would be useful.",,,,
12/16/2021 16:34:50,Software Developer,Other Public Research Lab,United States,No,"Fortran, C",Traditional HPC / Simulation,Used at my site,0,"Packages, Issues",develop,"macOS, CentOS 7, Ubuntu 18, Ubuntu 20",100 - 200,3.8,I'd live (I can provide Python 3 somehow),"Spack environments, Lmod, spack view, Containers","Environments, Module generation, Stacks (matrices in environments), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo)",Yes -- just one,Yes,"AMD, Intel",NVIDIA Other,"gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, CCE (Cray Compilers)",Somewhat important,Critical,Very Important,Not Important,Slightly Important,Not Important,Not Important,Critical,Not Important,Somewhat important,Slightly Important,Somewhat important,Not Important,Very Important,Not Important,"LMod module customization per package (prereq, try-load, etc)",Maybe,No,"Documentation, Slack, GitHub, Source Code",Weekly,Probably not,Probably not,Good,Excellent,Good,Good,We use Spack for to distribute our software stack to users to use themselves and for central installations on several HPC systems using Spack environments.,"We had a home-rolled solution similar in spirit to Spack using Bash scripts, but not nearly as advanced, and Spack offers many more features and a better package format with package.py.","Compilers not being treated as proper dependencies and having to separate it out into two steps to bootstrap a compiler.

I would like to be able to re-use or include a Spack environment's spec list in multiple spack.yaml configs. For example, we have configurations for multiple HPC systems with their own compilers.yaml, packages.yaml, and we include those in spack.yaml, but you have to edit the spack.yaml for each platform. It would be nice to also be able to include the spec list so each machine can have its own spack.yaml just for itself without duplicating the spec list or having to edit the file.

Per-package setting of compiler flags through packages.yaml

Better support/documentation for generating an LMod hierarchy using external compilers (meta modules)
",,,,
12/16/2021 16:57:01,User Support Staff,University HPC/Computing Center,United States,No,"Fortran, R, sh/bash/other shell script","Traditional HPC / Simulation, Statistics / Data Analysis",Birds-of-a-feather (BOF) at conference,5,Slack Discussions,0.16,"CentOS 8, openSuSE","> 1,000","3.7, 3.8",Do it!,"Spack environments, Lmod","Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), Build caches (binary packages), build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml",Yes -- just one,Yes,"AMD, Intel","NVIDIA T4, NVIDIA Ampere","gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), nvcc (CUDA)",Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Critical,Not Important,Very Important,Critical,Critical,Critical,Somewhat important,Somewhat important,,"Yes, I'd attend",Yes,"Documentation, Slack",Monthly,No,No,Excellent,Excellent,Excellent,Excellent,"have a cluster with mixed architecture - Ivybridge, Haswell, Broadwell, Skylake, CascadeLake and AMD Rome cpu. Use spack environments to build for ivybridge, haswell and skylake targets",ability to build environment for different architectures,none yet,haven't tried out 0.17 to recommend improvements maybe allowing modules hierarchy in LMOD for system architectures similar to TCL modules. currently I use a different lmod_root for each architecture. ,,Thanks for all your hard work.,
12/16/2021 18:31:26,Software Developer,Company,Canada,No,"Python, Go",Traditional HPC / Simulation,Word of mouth,2,Packages,develop,"macOS, CentOS 7, Ubuntu 20",100 - 200,"3.6, 3.7, 3.8, 3.9",Do it!,Spack environments,"Environments, build-env (debug a build), spack external find, Externals in packages.yaml, spack install --reuse",Yes -- just one,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere","gcc, Intel OneAPI / dpc++, LLVM",Somewhat important,Very Important,Slightly Important,Critical,Very Important,Slightly Important,Not Important,Not Important,Not Important,Critical,Slightly Important,Slightly Important,Slightly Important,Critical,Critical,,"Yes, I'd attend",Yes,"Documentation, Slack, GitHub",Weekly,Probably,Probably,Excellent,Excellent,OK,Good,Replace bash scripts we used to install dependencies for software. Distribute to arbitrary clusters,The devs/community is very active/helpful,Pulling develop for a bug fix pulls new packages which causes large (unnecessary reinstalls),Separate repo for packages (Ties in to my answer for biggest pain point).,No! Thanks!!,,
12/16/2021 21:42:50,Computational Scientist,University HPC/Computing Center,United States,No,"C, C++, Python, Go, sh/bash/other shell script, Java",Traditional HPC / Simulation,Word of mouth,0,"Packages, Core Features, Issues","0.17, develop, custom fork",RHEL 7,100 - 200,3.9,Do it!,Lmod,"Module generation, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo)",No,Yes,"AMD, Intel",NVIDIA Volta,"gcc, Intel Compilers, Intel OneAPI / dpc++, LLVM",Very Important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Not Important,Slightly Important,Not Important,Somewhat important,Very Important,Not Important,Not Important,Not Important,Not Important,,Maybe,Yes,"Documentation, Slack, spack help, Source Code",Weekly,Probably not,"Yes, definitely!",Excellent,Excellent,OK,Excellent,"BYU HPC- we use spack to centrally install software for hundreds of researchers in all fields (the whole university). Typically a user will request software, then we will go and install it with spack or else try to make a new spack package for the software. Sometimes we install things externally and add them to packages.yaml ",Saved so much time tracking down dependencies! Used to do everything 100% by hand from source.,Permissions on group-accessible locations,I probably won’t be using it anymore since I’m graduating and leaving the university for a software engineer job so I’m not sure,,Thank you for all the help getting BYU going with Spack! You have been great to work with! -Paul Spencer,
12/17/2021 0:02:52,Computational Scientist,University research group,Germany,No,C++,Traditional HPC / Simulation,Word of mouth,4,Packages,develop,"macOS, CentOS 7, Ubuntu 20",10 - 100,3.8,Do it!,"Spack environments, Environment Modules (TCL modules)","Environments, Externals in packages.yaml, Concretization preferences in packages.yaml",No,No,"AMD, Intel","NVIDIA Volta, AMD MI200","gcc, Intel Compilers",Somewhat important,Very Important,Very Important,Not Important,Critical,Very Important,Not Important,Slightly Important,Not Important,Very Important,Slightly Important,Very Important,Somewhat important,Slightly Important,Not Important,,"Yes, I'd attend",No,"Documentation, GitHub",Monthly,Probably not,Probably not,Excellent,Good,Good,Good,Install packages via slack environment to provide software on our computing custer ,Environments ,,,,,
12/17/2021 0:44:09,Software Developer,University research group,Switzerland,No,"C++, Python, Rust, sh/bash/other shell script","Traditional HPC / Simulation, Statistics / Data Analysis",Word of mouth,4,"Packages, Slack Discussions, Issues","0.16, 0.17","RHEL 7, Ubuntu 20","> 1,000","3.6, 3.7, 3.8, 3.9",Do it!,"spack load, Spack environments, Environment Modules (TCL modules), spack build-env, spack view, Custom script or env vars","Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), build-env (debug a build), spack-python (Python scripting), Command Extensions, Python extensions (link python packages into interpreter prefix), Externals in packages.yaml, Concretization preferences in packages.yaml, Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack develop, spack install --reuse, spack test, spack load, spack diff (compare two specs)",Yes -- just one,Yes,"AMD, Intel",NVIDIA Volta,"gcc, Intel Compilers, Intel OneAPI / dpc++, NVHPC (new NVIDIA PGI compilers), LLVM, nvcc (CUDA)",Critical,Very Important,Very Important,Not Important,Not Important,Slightly Important,Not Important,Somewhat important,Not Important,Not Important,Critical,Critical,Critical,Slightly Important,Very Important,,"Yes, I'd present something!",No,"Documentation, Slack, GitHub, Source Code",Weekly,Probably not,Probably,Excellent,Excellent,Good,Good,"I'm both providing a continuous deployment with Spack as well as developing software with the help of Spack.

For the continuous deployment, we have a multi-stage GitLab setup that uses chains/upstreams and externals. Modern compilers and tools are provided as externals, our scientific software stack is then build with those and provided as upstreams as well as modules to users.

We generally run the build pipeline several times a day, and heavily rely on Spack to keep our C++/Python software stack updated.",Everything,"The current external / provider preference behavior with the new concretizer: when providers are also externals, the provider preference in packages.yaml is voided.","Build dependencies independently considered of link dependencies! I'd like to build a single spec in a DAG with Intel, and the whole rest with GCC… that's currently a bit of a pain.",Everything good :),Keep up the great work!,
12/17/2021 0:53:26,Scientist/Researcher,Other Public Research Lab,Italy,No,"C++, Python","Traditional HPC / Simulation, AI/ML",Word of mouth,4,Packages,0.17,"CentOS 7, Arch",200 - 500,"3.6, 3.9",Do it!,"spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, spack external find, New concretizer (clingo), spack load",No,No,"AMD, Intel","NVIDIA Ampere, AMD Other","gcc, Intel Compilers, LLVM",Somewhat important,Very Important,Very Important,Slightly Important,Somewhat important,Somewhat important,Not Important,Very Important,Not Important,Critical,Very Important,Critical,Somewhat important,Somewhat important,Slightly Important,,"Yes, I'd attend",Yes,"Documentation, Mailing List, Coworkers",Weekly,Probably not,Probably,Good,Excellent,Good,Good,Build software for our cluster and local machines in the most portable way possible,Started using spack environments,spack external find is not very reproducible on different linux distros,test on more distros,,,
12/17/2021 1:24:05,User Support Staff,University HPC/Computing Center,Switzerland,No,"sh/bash/other shell script, Lua",Traditional HPC / Simulation,Word of mouth,4,"GitHub Discussions, Issues",custom fork,CentOS 7,"500-1,000",2.7,I'd live (I can provide Python 3 somehow),Lmod,Module generation,Yes -- just one,Yes,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, NVIDIA Other","gcc, Intel Compilers, Intel OneAPI / dpc++, nvcc (CUDA)",Very Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Very Important,Not Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,,Maybe,No,"Documentation, GitHub, Source Code",Monthly,Probably not,Probably not,Excellent,Excellent,Excellent,Excellent,I use spack to provide toolchains and parts of the software stacks on our universities HPC cluster. It is very usefull to install a lot of standard packages. But I don't exclusively use spack for everything. There are certain things that I prefer to install manually or through other means,Nothing special to point out here. It is just a great software that makes my life easier,Nothing special to point out here,"Keep it stable, don't make too many changes which are not backwards compatible, such that  people using older versions can still backport new packages etc.",No,You are doing a great job. Thank you for providing such a good software,
12/17/2021 7:35:45,Research Software Engineer (RSE),University HPC/Computing Center,Switzerland,No,"C, C++, Python, sh/bash/other shell script, Julia",Traditional HPC / Simulation,Used at my site,2,"Packages, Core Features, Documentation, Slack Discussions, GitHub Discussions, Issues","0.17, develop, custom fork","Ubuntu 20, SLES15",100 - 200,3.8,I'd live (I can provide Python 3 somehow),Spack environments,"Environments, Module generation, spack containerize, Build caches (binary packages), build-env (debug a build), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, New concretizer (clingo), spack develop, spack diff (compare two specs)",No,Yes,"AMD, Intel, ARM","NVIDIA Volta, NVIDIA Ampere, AMD MI200","gcc, LLVM",Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,,"Yes, I'd attend",No,"Slack, Coworkers, GitHub",Monthly,No,Probably not,Good,Good,Good,Good,,,,,,,
12/17/2021 7:59:15,User Support Staff,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,"Python, sh/bash/other shell script",Traditional HPC / Simulation,Word of mouth,3,"Documentation, Slack Discussions, Issues",0.17,"SLES15, Cray XC, Cray EX","> 1,000","3.6, 3.7",Do it!,"Spack environments, Lmod, Environment Modules (TCL modules)","Environments, Module generation, Stacks (matrices in environments), Build caches (binary packages), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, spack ci (generate GitLab Pipelines), Distributed Builds (srun/mpirun spack install), New concretizer (clingo), spack install --reuse, spack test, spack load",No,No,AMD,NVIDIA Ampere,"gcc, NVHPC (new NVIDIA PGI compilers), CCE (Cray Compilers)",Somewhat important,Very Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Somewhat important,Slightly Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Critical,Very Important,Somewhat important,,"Yes, I'd attend",Yes,"Documentation, Slack, GitHub, spack help, Source Code",Daily,Probably not,No,Excellent,Excellent,OK,Good,,,,,,,
12/17/2021 10:32:54,Scientist/Researcher,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,Yes,"C, Python, R, sh/bash/other shell script",Computer Science Research,Used at my site,1,Packages,"0.17, develop","macOS, RHEL 7",200 - 500,3.8,Do it!,spack load,"Environments, build-env (debug a build), spack external find, spack load, spack diff (compare two specs)",Yes -- just one,No,"AMD, Intel, ARM","NVIDIA Ampere, AMD MI200","gcc, NVHPC (new NVIDIA PGI compilers), AMD ROCmCC / hipcc, nvcc (CUDA)",Very Important,Very Important,Not Important,Slightly Important,Somewhat important,Somewhat important,Not Important,Not Important,Not Important,Very Important,Very Important,Somewhat important,Very Important,Not Important,Slightly Important,,Maybe,Yes,"Documentation, Coworkers, spack help",Weekly,Probably,Probably,Good,Good,OK,Excellent,(1) Easily (most of the times) install packages on my Mac laptop. (2) Provide recipes for my software packages so that others (including myself) can install them easily. ,Installing hwloc with the appropriate configuration for GPUs (I contributed to the hwloc recipe),"Some packages do not work well, particularly on my Mac. Installing MPIs, PMIx, Slurm, Flux can be difficult. ",Better support for Mac would be great (my development machine) ,tap and pycotap,"Great work, much appreciated. ",
12/17/2021 10:45:19,Scientist/Researcher,University research group,Czech Republic,No,"C, Python, sh/bash/other shell script, D, julia",Traditional HPC / Simulation,Search,5,"Packages, Issues",0.16,"Ubuntu 18, Ubuntu 20",1 - 10,"3.7, 3.8",Do it!,"Lmod, Environment Modules (TCL modules)","Environments, Module generation, build-env (debug a build), Externals in packages.yaml, Concretization preferences in packages.yaml",Yes -- several,No,"AMD, Intel","NVIDIA Other, AMD Other","gcc, LLVM",Somewhat important,Somewhat important,Slightly Important,Not Important,Slightly Important,Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,,Maybe,No,"Documentation, Mailing List, GitHub",Monthly,Probably not,Probably not,Good,Excellent,Excellent,Good,,,,,,,
12/17/2021 12:17:49,Code user/analyst,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,Yes,C++,Traditional HPC / Simulation,Used at my site,4,"Packages, Issues",0.17,Ubuntu 20,10 - 100,3.8,Do it!,Environment Modules (TCL modules),"Environments, New concretizer (clingo)",No,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, AMD MI200","gcc, LLVM, AMD ROCmCC / hipcc, nvcc (CUDA), CCE (Cray Compilers)",Slightly Important,Somewhat important,Very Important,Slightly Important,Critical,Not Important,Not Important,Slightly Important,Not Important,Critical,Not Important,Critical,Critical,Not Important,Not Important,,Maybe,No,"Documentation, GitHub",Monthly,No,No,Good,Good,Good,Good,,,,,,,
12/17/2021 12:22:02,Software Developer,Other Public Research Lab,United States,No,"C++, Python",Statistics / Data Analysis,Tutorial,2,"Packages, Slack Discussions, Issues",develop,"RHEL 7, Ubuntu 20",1 - 10,3.8,Do it!,"spack load, Spack environments, spack view","Environments, build-env (debug a build), spack external find, New concretizer (clingo), spack develop, spack load",Yes -- several,No,"Intel, IBM Power, ARM","NVIDIA Volta, NVIDIA Ampere","gcc, nvcc (CUDA)",Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,Very Important,Not Important,Slightly Important,Not Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Not Important,Somewhat important,,"Yes, I'd attend",Yes,"Documentation, Slack, spack help, Source Code",Weekly,No,Probably not,Good,Excellent,Good,Excellent,"As a developer working on various packages on various machines, Spack has become essential in my daily work. Easily maintaining build environments in various configurations is invaluable.",spack develop,Easier maintenance of build caches would help with getting other developers on a team on the Spack train.,"Improve error messages when using the Clingo concretizer, add language variants (e.g, c++ language standards)","I tend to roll my own Spack package files for missing packages that aren't too complicated, and I haven't identified any missing packages that don't fit this description",,
12/17/2021 12:39:35,Scientist/Researcher,NREL,United States,Yes,C++,Visualization,Used at my site,1,No,0.17,CentOS 7,1 - 10,3.9,Do it!,spack load,spack load,No,Yes,Intel,NVIDIA Ampere,"gcc, LLVM",Critical,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Somewhat important,Very Important,Very Important,Somewhat important,Slightly Important,Slightly Important,direnv-like support also better ability to easily create local Spack installs to isolate builds,Maybe,No,Documentation,Monthly,Probably not,Probably,OK,OK,Good,OK,We use Spack to do the legwork in bringing in deps for our custom code,Has most of what we need in the package repo,"If the package is not in the repo, it's relatively painful. Latest software takes a bit to get integrated. We find users are creating their own Spack installs all over, which is bloating disk usage.","Perhaps get closer with Guix and other kinds of package management tools. There is too much fragmentation going on, and each additional package system adds more stress. One doesn't have to replace the other, but sharing as much as possible would be great.",,,
