Timestamp,What kind of user are you?,Where do you work?,What country are you in?,What languages do you primarily program in?,What are your primary application areas?,How did you find out about Spack?,How long have you been using Spack?,Have you contributed to Spack?,What version(s) of Spack do you use?,What OS do you use Spack on?,How many package installations have you done with Spack in the past year?,What Python version(s) do you use to run Spack?,How do you get installed Spack packages into your environment?,Which of the following Spack features do you use? (details at https://github.com/spack/spack/releases),Do you have your own local Spack package repositories?,Do you have any local modifications to Spack itself?,Do you use any third-party tools/front-ends to do development with Spack?,Which processors do you expect to use with Spack in the next year?,Which GPUs / Accelerators do you expect to use with Spack in the next year?,Which compilers do you expect to use with Spack in the next year?,Rank these TBD Spack features by importance [Better error messages],Rank these TBD Spack features by importance [Testing / integration with Pavilion2/ReFrame/other test tool],Rank these TBD Spack features by importance [More packages in public build caches],Rank these TBD Spack features by importance [Better organized/publicized public build caches],Rank these TBD Spack features by importance [Better compiler flag handling],Rank these TBD Spack features by importance [Performance/speed improvements],Rank these TBD Spack features by importance [Better autodetection of system packages],Rank these TBD Spack features by importance [Better GPU compiler support],Rank these TBD Spack features by importance [Generate GitHub Actions pipelines + build caches],Rank these TBD Spack features by importance [More developer features],Rank these TBD Spack features by importance [Improvements for `spack test`],Rank these TBD Spack features by importance [Better CI Stability / faster PR turnaround],Rank these TBD Spack features by importance [SpackOS/support for custom libc],Rank these TBD Spack features by importance [Cross-compilation],Rank these TBD Spack features by importance [More build parallelism],Rank these TBD Spack features by importance [Separate the builtin repo from core],What features NOT in the prior list would you like to see (tell us your wish list)?,Has Spack's transition into Linux Foundation / HPSF given you more confidence in the project?,"Will you be attending the Spack User Meeting at HPSFCon, May 5-8?",Have you attended a Spack Tutorial?,How do you get help with Spack when you need it?,How often do you consult the Spack documentation?,"If there were commercial support for Spack, would you or your organization buy it?",How would you rate the overall quality of ... [Spack documentation],How would you rate the overall quality of ... [Spack community],How would you rate the overall quality of ... [Spack packages],How would you rate the overall quality of ... [Spack],"What is the most recent thing you did with Spack, anywhere from installing a package to modifying the core functionality?",Tell us briefly about your use case and your usual Spack workflow.,What about Spack has helped you the most in the past year?,What are the biggest pain points in Spack for your workflow? (feel free to link to issues),What's the biggest thing we could do to improve Spack over the next year?,Are there key packages you'd like to see in Spack that are not included yet?,Do you have any other comments for us?,"If you're interested in being contacted about your response, please leave us your email.",,,,,,
4/17/2025 23:10:56,Research Software Engineer (RSE),Other Public Research Lab,Germany,"C++, Python, sh/bash/other shell script","HPC / Simulation, Web applications, User Support, System Administration",Used at my site,0,Slack Discussions,"1.0.0-alpha* pre-releases, custom fork",Debian 12,"500-1,000",3.11,"Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Build caches (making binary packages), Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible",Yes -- just one,No,No,"AMD, Intel, IBM Power","NVIDIA Volta, NVIDIA Ampere, AMD MI300X","gcc, Intel OneAPI, LLVM",Critical,Slightly Important,Not Important,Not Important,Very Important,Somewhat important,Very Important,Somewhat important,Not Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,"2-step environment setup: Install these compilers, then build this environment solely with those compilers",Not sure,No,No,"Documentation, Slack, Coworkers, Source Code",Monthly,Probably not,Good,Good,OK,Good,Made an environment for building and running a benchmark on our HPC,"Broadly we use Spack to build several environments with different ""toolchains"" that our users load as environment modules. Spack helps us with version pinning and managing different flags, etc...

Personally, when I go for spack, I want from it what one would get from a container. I want to build an environment with a set of dependencies that's explicitly listed and make my work reproducible","Can't think of any specifics, though overall it's a good idea and helpful in general","When the concretiser breaks and complains it can be REALLY hard to figure out what it's causing the problem. We try to unify concretisation as making sure we can point to a specific build we request and control is important but sometimes it just says ""can't do it, lol"" and it's a bit of a nightmare figuring out why it doesn't like X package

Mentioned before but Spack environments really need some sort of 2-step approach to come into their own. One of the key things you'd want is a compiler. A lot of our environments are ""toolchains"" built with such and such compiler. But since we have to set the compilers externally beforehand, it's a bit of a mess. There needs to be a ""base setup"" of some sort, where you install compilers (primarily) and then you can tell the rest of the environment definition that you want the packages built with that

That said, sometimes the requirement to build with a specific compiler or use a specific provider is just not respected and, once again, tracking those down is a pain. It makes unification kind of mandatory if you want to have any sort of reasonable idea of what's going on under the hood",I'd say that the concretisation error output is the most important one. Having that be better to follow opens the door to actually troubleshooting weirdness,"Nothing comes to mind. Instead, though, I've run into a few where it just won't build and I have to abandon spack altogether","It's easy to feel down and sound negative with this amount of complaints and whatnot but I feel it's important to stress that Spack is good. The problem Spack is trying to solve is a really hard one and a lot of the evidence is in how many attempts we've given at it. From modules to containers to runtimes to python environments etc... Software management and build reproducibility is where all of the rough edges come to meet and have tea, especially when you're building dozens of things from source. So just keep in mind that while friction is unavoidable, the work that's been put into Spack already is pretty incredible and, personally, am very optimistic about the main pain points of Spack being things that can be smoothed out. Spack is well on its way to being a peerless solution to the problem it's trying to tackle",,,,,,,
4/18/2025 8:13:01,DevOps/SRE,"DOE/Office of Science Lab (e.g., ORNL/ANL/LBL)",United States,"C, C++, Python, Perl, sh/bash/other shell script, Javascript, Ruby","High Energy Physics, Web applications, User Support, DevOps",Word of mouth,6,"Packages, Slack Discussions, Issues, Extensions","0.19, 0.22, 1.0.0-alpha* pre-releases","RHEL 7, RHEL9, CentOS 7, AlmaLinux 9",200 - 500,"3.6, 3.9","spack load, Spack environments","Environments, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), spack-python (Python scripting), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, spack develop, concretization: --reuse (default), concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), Git versions, spack test, spack load, spack diff (compare two specs), include_concrete",Yes -- several,My site has a front-end or extension to Spack,fermi-spack-tools,"AMD, Intel","NVIDIA Ampere, Intel Xe (Ponte Vecchio)","gcc, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Very Important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Very Important,Not Important,Somewhat important,Not Important,Not Important,,Yes,No,Yes,"Documentation, Slack, Coworkers, Source Code",Weekly,Probably not,Good,Excellent,Good,Good,Built binary cache images of new data management package versions and installed in CVMFS for Fermilab experiments.,"Aside from packaging and distributing tools for our experimenters, I am also collaborating with experiments to assist them in getting their own code stacks built under Spack.",It has helped us organize and distribute new software releases for our experimenters.,"Differences in concretization across Spack releases, differences in recipe interface across releases, Needing to write scripts to automate Spack instance setup (installing multiple recipe repositories, standardized configs (i.e. packages.yaml), chaining upstreams, etc.) ","I'll give you three:
1) Make concretizer able to smoothly reuse specified, existing dependency subtrees of installed packages; even when those subtrees were built with an older version of spack, and would perhaps not be found by current concretizer and/or recipe versions, as it does with, say externals packages.
2) Make future changes to recipe interface backwards compatible.
3) Don't write things in $HOME/.spack such that switching spack instances confuses Spack
","Not so much any particular package, more it should be the case that if ""pip install"" can install it and all its dependencies, ""spack create"" should be able to make recipes for it and any needed dependencies automatically, maybe with a --recursive flag; ditto for Ruby and ""gem install""... ",Thanks for all your hard work in building and maintaining this package manager!,,,,,,,
4/18/2025 12:30:22,HPC User / Analyst,University research group,United States,"Python, R, sh/bash/other shell script","Statistics / Data Analysis, AI/ML, Computer Science, Bioinformatics",Used at my site,4,No,0.17,Rocky 8,"> 1,000",3.8,spack load,spack load,Yes -- several,No,No,"AMD, Intel",No GPUs,gcc,Critical,Not Important,Very Important,Critical,Critical,Critical,Critical,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Critical,Not Important,,Not sure,No,No,"Slack, Coworkers",Weekly,Probably,Good,Good,Good,Good,installing package using spack,,,,,,,,,,,,,
4/18/2025 12:47:44,Research Software Engineer (RSE),University research group,United States,"Python, Rust, R, sh/bash/other shell script, Javascript","Statistics / Data Analysis, Bioinformatics",Used at my site,2,Issues,0.23,Rocky 9,10 - 100,"3.11, 3.12, 3.13",spack load,spack load,No,No,No,Intel,NVIDIA T4,gcc,Very Important,Not Important,Very Important,Very Important,Very Important,Slightly Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Slightly Important,,Yes,No,No,"Documentation, GitHub Issues, ChatGPT / other LLMs",Monthly,Probably not,Good,Good,Good,Excellent,update versions in the local spack recipe,"We use spack on our university HPC. I use it as a package manager (don't take advantage of all the other features, at least yet)","Much, much easier package management than what we had before",singularityce dependency problems,"build time can be long -- if that could be parallelized or shortened, that would be fantastic.",,thank you for spack!,,,,,,,
4/18/2025 18:14:29,User Support Staff,University HPC/Computing Center,United States,"Fortran, C, sh/bash/other shell script",User Support,Search,8,Issues,"0.22, 0.23",Rocky 8,100 - 200,"3.8, 3.11",Lmod,"Environments, Module generation, build-env (debug a build), Variant/flag propagation (++, ~~, ==), spack load, E4S containers (https://e4s.io)",Yes -- just one,Yes,No,"AMD, Intel","NVIDIA T4, NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, NVIDIA Other, AMD MI300X","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Slightly Important,Slightly Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,,Yes,No,Yes,"Documentation, Mailing List, GitHub Issues, GitHub Discussions, spack help, Source Code, plain old Google search",Monthly,Probably not,Good,Good,Good,Good,"Pulling Spack from GitHub and building HPL from scratch (compiler, MPI) on a new testing machine. Much easier than building all that stuff manually. Then spack load hpl to run it.","On our HPC systems, spack list, spack info, spack spec -I, spack install, spack module lmod refresh",Just saving time in building packages.,Still not sure if builds with the new Spack/package version will work the same as the old one. That still makes me wary to automate stack builds.,"Not sure, probably the predictability of the success of the build, but, I understand this is very hard and needs coordination with the package recipe maintainers.","I am sure there are some as there's always something we need to install manually, but, these are more of fringe packages.","Thanks for a great product, it has helped us tremendously.",,,,,,,
4/21/2025 8:00:51,Scientist/Researcher,University research group,United States,"C++, Python, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, High Energy Physics",Used at my site,2,"Packages, Slack Discussions, GitHub Discussions","0.22, 0.23, develop (1.0.0dev0)",AlmaLinux 9,"> 1,000","3.9, 3.11","spack load, Spack environments, spack view","Environments, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), Multiple build systems in one package, spack load, include_concrete",Yes -- several,My site has a front-end or extension to Spack,No,Intel,NVIDIA Ampere,"gcc, Intel OneAPI, LLVM, nvcc (CUDA)",Very Important,Not Important,Not Important,Not Important,Critical,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Slightly Important,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Critical,,Yes,"Yes, I'm attending",Yes,"Documentation, Slack",Weekly,Probably not,Good,Good,OK,Good,Build a full software stack for a HEP experiment and publish it to CVMFS via buildcache.,"I manage computing for neutrino physics experiments, which involves publishing computing ","The ability to unify traditional c++ based experiment software ecosystems with modern CUDA-based ML python packages, thanks to spack's excellent infrastructure for handling the installation of python packages.","The time-consuming process of writing robust package recipes that reliably compile, and the lack of support for monorepo packages.",Add the ability to develop multiple packages in a spack environment that are derived from a single monorepo source.,,,,,,,,,
4/21/2025 11:03:38,Research Software Engineer (RSE),"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"C++, Python","HPC / Simulation, High Energy Physics, DevOps",Used at my site,9,"Packages, Core Features, Slack Discussions, Issues, Tools/integrations, Spack User Meeting Talk",develop (1.0.0dev0),"macOS 14 (Sonoma), macOS 15 (Sequoia), RHEL 8, Ubuntu 24, TOSS4, BlueOS, TOSS4_cray","500-1,000","3.9, 3.11","spack view, Custom script or env vars, ","Environments, Mirrors (spack mirror create / air gap support), Build caches (making binary packages), Weekly develop snapshots on cache.spack.io, spack ci (GitLab pipeline generation -- yourself, not on our CI), spack external find, `require:` directive in packages.yaml, spack develop, concretization: --fresh (build everything fresh), Multiple build systems in one package, Variant/flag propagation (++, ~~, ==), spackbot (@spackbot fix style; @spackbot rebuild everything, etc.)",Yes -- several,No,Other script to wrap spack,"AMD, Intel, IBM Power, mac processor","NVIDIA Volta, NVIDIA Hopper, AMD MI200/250X, AMD MI300X","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Not Important,Somewhat important,Not Important,Somewhat important,Somewhat important,Critical,Very Important,Somewhat important,Critical,Slightly Important,Very Important,Not Important,Slightly Important,Slightly Important,Somewhat important,,No,"Yes, I'm presenting!",Yes,"Documentation, Slack, Coworkers, GitHub Issues, Weekly Telecons, ChatGPT / other LLMs",Weekly,No,OK,Good,Good,Good,"convert old project to new TPL build using Spack, including creating new Spack package recipes",support multiple projects with spack,Spack CI and the Spack team,"Currently, Spack CI breaking and blocking my team for weeks at a time, defaulting to the wrong external with multiple compiler options","error messages, unified compilers from a package up the tree",,Thank you for the increased help this year! I have definitely felt more supported this year.,,,,,,,
4/22/2025 1:55:27,User Support Staff,University HPC/Computing Center,France,Python,"HPC / Simulation, Statistics / Data Analysis, Visualization, User Support",Search,5,"Packages, Slack Discussions","0.23, develop (1.0.0dev0)",RHEL 8,"> 1,000",3.6,"Spack environments, Lmod","Environments, Module generation, Chaining (upstreams), Stacks (matrices in environments), Mirrors (spack mirror create / air gap support), Build caches (making binary packages), spack ci (GitLab pipeline generation -- yourself, not on our CI), Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, concretization: --fresh (build everything fresh), Variant/flag propagation (++, ~~, ==), Git versions",Yes -- just one,No,,"AMD, RISC-V","NVIDIA Hopper, NVIDIA Blackwell, NVIDIA Other, AMD MI200/250X, AMD MI300A, AMD MI300X","gcc, Classic Intel Compilers, LLVM, AMD ROCmCC (amdclang/hipcc)",Very Important,Slightly Important,Not Important,Not Important,Somewhat important,Very Important,Not Important,Very Important,Not Important,Not Important,Somewhat important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Critical,,Yes,No,Yes,"Documentation, Slack, GitHub Issues",Yearly,No,Good,Excellent,OK,Good,NAMD 3.0.1 Installation ,,build stacks,,,,,,,,,,,
4/22/2025 3:09:05,Research Software Engineer (RSE),Other Public Research Lab,United Kingdom,"C++, Python, SYCL","HPC / Simulation, Computer Science, High Energy Physics",Word of mouth,4,"Slack Discussions, Issues",0.23,"macOS 15 (Sequoia), Ubuntu 24, Windows Subsystem for Linux (WSL)",100 - 200,"3.12, 3.13","spack load, Spack environments, Environment Modules (TCL modules)","Environments, Module generation, Externals in packages.yaml, Distributed Builds (srun/mpirun spack install), spack develop, Multiple build systems in one package, spack load",Yes -- just one,No,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, NVIDIA Other, AMD MI300X, Intel Xe (Ponte Vecchio)","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers), armclang",Somewhat important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,Not Important,Not Important,Critical,Very Important,Somewhat important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Not Important,"GPU arch specification for entire build, preferably in a way which is composable with OpenMP offload or SYCL.",Yes,No,No,"Documentation, Slack, Coworkers, GitHub Issues, Source Code",Monthly,Probably not,OK,OK,Good,Good,Build our development environment.,We develop multiple SYCL libraries. Hence build and test with multiple SYCL implementations and have to build all our dependencies. Then we need a way for our downstream users to build and install everything in a sane way.,,"Dependency type specification (build, link, run) does not let me simply specify that a package is simply installed. All of these three options will try to be helpful and load the package, either by including it in env vars at build time or run time, and I want none of these.
I simply want to specify that package A requires package B to be installed (and be able to get the install path to B in my package.py). I do not want B to be loaded by spack at any time. 

Working with submodules which specify the version of a dependency. i.e. I end up with many installs of foo@working-<compiler>-<hash>.",better support for specifying gpu/sycl configuration for a build.,,"Thanks for Spack, it saves me vast amounts of time and frustration.",,,,,,,
4/22/2025 11:16:34,Research Software Engineer (RSE),University HPC/Computing Center,United States,"Fortran, C++, Python, Rust, sh/bash/other shell script, Ruby","HPC / Simulation, User Support, System Administration",Used at my site,0,No,"1.0.0-alpha* pre-releases, develop (1.0.0dev0)","RHEL 7, RHEL9",10 - 100,3.9,"Spack environments, Lmod","Environments, Module generation, Build caches (making binary packages), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, concretization: --reuse (default), concretization: --fresh (build everything fresh), concretizer:unify:true (concretize together), concretizer:unify:when_possible",No,No,spack manager (https://sandialabs.github.io/spack-manager/),"AMD, Intel","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, AMD MI200/250X","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Not Important,Not Important,Somewhat important,Slightly Important,SBOM generation,Yes,No,No,"Documentation, GitHub Issues, GitHub Discussions, spack help, Source Code",Weekly,Probably not,Good,Excellent,Good,Good,Create an environment,Creating environments or adding packages to environments for HPC users to load with lmod,,,,,,,,,,,,
4/22/2025 11:50:01,Research Software Engineer (RSE),University HPC/Computing Center,United States,"C, C++, Python, sh/bash/other shell script","HPC / Simulation, Statistics / Data Analysis, AI/ML, Computer Science, Bioinformatics, High Energy Physics, Visualization, User Support, System Administration, DevOps",Used at my site,3,"Packages, Slack Discussions","1.0.0-alpha* pre-releases, develop (1.0.0dev0)",RHEL9,200 - 500,3.9,"Spack environments, Lmod","Environments, Module generation, Stacks (matrices in environments), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml, concretization: --reuse (default), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), spack diff (compare two specs)",No,Yes,No,"AMD, Intel, ARM","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell","gcc, Classic Intel Compilers, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Slightly Important,Not Important,Not Important,Not Important,Very Important,Slightly Important,Very Important,Slightly Important,Not Important,Not Important,Not Important,Not Important,Somewhat important,Somewhat important,Slightly Important,Somewhat important,SBOM generation,Not sure,"Yes, I'm attending",No,"Documentation, Slack, GitHub Issues, spack help, Source Code",Monthly,No,Good,Excellent,OK,Good,I installed some new packages in an existing environment at our site for our users (I'm an HPC sysadmin),"I'm an HPC sysadmin, and we create/deploy Spack stacks when doing major updates.  On an ongoing basis, we also install/deploy addition packages in existing environments",Ease of building and deploying a large software stack,"I have problems re-using specs.  Here's a very common situation.  If I've built an environment with package A that depends on package B, and later I want to add a package C to that same environment that depends on package B, but I don't want to install a new spec for package B, then I don't know how to make that reliably happen.  For example, when package B is an MPI library, I don't want to install multiple specs of the same MPI library.  ",SBOM support.  This would make Spack a really great solution for some of our university's secure software initiatives.   ,HPC-X with Slurm support,Thanks for building both a great product and a great community!,,,,,,,
4/22/2025 17:54:38,Scientist/Researcher,University research group,United States,C++,"HPC / Simulation, AI/ML, Computer Science",Presentation,2,No,develop (1.0.0dev0),"macOS 10.15 (Catalina), Debian 12, Cray EX",1 - 10,3.11,Spack environments,"Environments, Cray PE support (spack external read-cray-manifest), Externals in packages.yaml, `require:` directive in packages.yaml, `prefer:` directive in packages.yaml",No,Yes,No,"AMD, Intel, ARM, RISC-V","NVIDIA Ampere, NVIDIA Other","gcc, LLVM",Critical,Not Important,Not Important,Not Important,Very Important,Critical,Somewhat important,Not Important,Not Important,Not Important,Not Important,Not Important,Critical,Critical,Not Important,Not Important,,No,No,No,Slack,Monthly,No,Bad,Good,OK,OK,Tried to install gcc-14 toolchain and dependencies on a Cray EX.,I'm mostly trying to get most recent compiler toolchains installed on platforms I don't own.,,"Things never really seem to work as easily as I'd expect. Like I'd like to say something like ""spack install gcc gdb cmake libtool ..."" and just have it work, but it *never* works. There's constantly some sort of concretizer problem or it claims to have installed but the binaries are not in my path or all sorts of other challenges.",Better documentation for users and perhaps simplified CLI workflows for common things. Perhaps containerized sets that just work and have been tested in a bunch of common settings (common includes Cray EX).,,,,,,,,,
4/22/2025 20:27:36,System Administrator,Other Public Research Lab,Japan,Fortran,HPC / Simulation,Used at my site,3,Issues,"0.19, 0.21, 0.23, 1.0.0-alpha* pre-releases",RHEL 8,100 - 200,"3.11, 3.13",spack load,"Module generation, spack containerize, Chaining (upstreams), Externals in packages.yaml, `require:` directive in packages.yaml, concretization: --reuse (default), Multiple build systems in one package, spack load, spack diff (compare two specs)",Yes -- just one,Yes,No,ARM,"AMD MI300A, AMD MI300X","gcc, LLVM, Fujitsu Compilers",Critical,Not Important,Not Important,Not Important,Critical,Somewhat important,Critical,Somewhat important,Slightly Important,Slightly Important,Somewhat important,Somewhat important,Not Important,Critical,Critical,Very Important,Better handling ~/.spack/cache,Yes,"Yes, I'm presenting!",No,"Documentation, Mailing List, Coworkers, GitHub Issues, GitHub Discussions, ChatGPT / other LLMs",Weekly,"Yes, definitely!",Bad,Excellent,Good,Good,Preparing/testing for the upcoming Spack-v1.00 update,spack load,"Many things, but I cannot remember what is the most.","Since Meson probably does not support our system, I could not update py-numpy or py-scipy.",Stable v1.00,,,,,,,,,
4/23/2025 7:35:05,Scientist/Researcher,Other Public Research Lab,United States,"C, C++, Rust","Statistics / Data Analysis, Visualization",Used at my site,4,No,0.23,"RHEL 8, RHEL9, CentOS 7",10 - 100,"3.10, 3.11, 3.12",spack load,spack develop,No,Yes,No,"AMD, Intel","NVIDIA Ampere, NVIDIA Hopper, NVIDIA Blackwell, NVIDIA Other","gcc, LLVM, nvcc (CUDA)",Very Important,Slightly Important,Somewhat important,Somewhat important,Somewhat important,Critical,Very Important,Very Important,Somewhat important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Somewhat important,Critical,Somewhat important,,Not sure,No,No,"Documentation, Trial and error",Yearly,Probably not,Bad,OK,Bad,Bad,Attempting to install a set of packages,Typically reach for Spack for HPC-related software; workflow is typically starting with a fresh Spack install as they usually get broken after a while,Has made it easier to grab some esoteric software,"Horrible performance
- install takes a while
- takes forever to compute the packages needed to install
- build is not fast (though in many cases that's down to bad build scripts in packages)
- loading packages takes a while","Performance, of course. Longer term...see below",N/A,"I think it's time to rethink Spack. What is it about Spack that can be better than, say, nix? What languages can be used instead of python to make this shine? Instead of just duplicating old and busted approaches to environment management, can you change the idioms? Can you make the workflow as fast and as easy as virtual-envs or cargo? Can you avoid using git as the primary way to distributed your codebase?

I think Spack has a place in HPC (and can consider more things than nix or other similar package managers can), and it does deliver certain packages when it works...but it rarely works and rarely works well. I've even moved on to custom scripting and rebuilding my own horrible package manager to get around the slowness and breakage with Spack's workflow",,,,,,,
4/23/2025 8:05:42,System Administrator,Nonprofit,United Kingdom,"C, Python, sh/bash/other shell script",HPC / Simulation,Used at my site,4,Issues,0.23,Rocky 8,10 - 100,3.1,Environment Modules (TCL modules),Module generation,Yes -- just one,Yes,No,"AMD, Intel","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper",gcc,Very Important,Somewhat important,Slightly Important,Slightly Important,Not Important,Very Important,Very Important,Very Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,Very Important,Very Important,Slightly Important,,Not sure,No,No,Documentation,Monthly,Probably,OK,OK,Good,Good,Installing Cuda,,,Lack of maintainers for some packages,Better error messages,,,,,,,,,
4/23/2025 8:52:27,Research Software Engineer (RSE),"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"C++, Python, Rust, sh/bash/other shell script","HPC / Simulation, DevOps",Used at my site,2,"No, Slack Discussions","0.22, 0.23","macOS 15 (Sequoia), RHEL 8, RHEL9, CentOS 7, CentOS 8, Rocky 8, Rocky 9, Ubuntu 20, Ubuntu 22, Ubuntu 24","500-1,000","2.7, 3.13","Spack environments, Containers",Environments,No,Yes,No,"AMD, Intel","AMD MI300A, AMD MI300X","gcc, Intel OneAPI, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA), CCE (Cray Compilers)",Very Important,Not Important,Slightly Important,Slightly Important,Very Important,Somewhat important,Critical,Critical,Very Important,Somewhat important,Slightly Important,Slightly Important,Slightly Important,Very Important,Very Important,Somewhat important,,Yes,No,Yes,"Documentation, Slack, Coworkers",Monthly,Probably,Good,Good,OK,OK,Used to install dependencies in a container,,,,,,,,,,,,,
4/23/2025 8:58:54,DevOps/SRE,"DOE/NNSA Lab (e.g., LLNL/LANL/SNL)",United States,"Fortran, C, C++, Python, Lua","HPC / Simulation, Computer Science, User Support, System Administration, DevOps",Word of mouth,8,"Packages, Core Features, Slack Discussions, GitHub Discussions, Issues","0.23, 1.0.0-alpha* pre-releases, develop (1.0.0dev0)","macOS 14 (Sonoma), macOS 15 (Sequoia), RHEL 7, RHEL 8, RHEL9, Rocky 8, Rocky 9","> 1,000","3.11, 3.12, 3.13","spack load, Spack environments, Lmod, Environment Modules (TCL modules), Containers","Environments, Module generation, Build caches (making binary packages), spack external find, Externals in packages.yaml, Concretization preferences in packages.yaml, concretizer:unify:true (concretize together), concretizer:unify:when_possible, Variant/flag propagation (++, ~~, ==), Git versions, spack load",Yes -- just one,No,No,"AMD, Intel, IBM Power, ARM, RISC-V","NVIDIA Volta, NVIDIA Ampere, NVIDIA Hopper, NVIDIA Other, AMD MI100, AMD MI200/250X, AMD MI300A, No GPUs, Cerebras, NextSilicon","gcc, Intel OneAPI, NVHPC, LLVM, AMD ROCmCC (amdclang/hipcc), nvcc (CUDA)",Somewhat important,Not Important,Not Important,Not Important,Somewhat important,Slightly Important,Not Important,Somewhat important,Not Important,Not Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Critical,,Yes,"Yes, I'm attending",Yes,"Documentation, Slack, Coworkers, GitHub Issues, GitHub Discussions, spack help, Weekly Telecons",Weekly,Probably not,Good,Good,OK,Good,I use spack to deploy toolchains across many machines with varying architectures,I use spack in containers to build out toolchains and then users can build on those containers or I use them to deploy to a shared network space,,,,,,,,,,,,
